Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,include/git2/version.h,version.h,18,9,6,3,0,467,16
C,src/tree.c,tree.c,1284,923,103,258,202,31200,725
C,src/transports/ssh.c,ssh.c,927,690,37,200,130,19913,490
C,src/transports/smart_protocol.c,smart_protocol.c,1100,820,75,205,239,25994,593
C,src/transports/smart_pkt.c,smart_pkt.c,626,439,51,136,84,13061,333
C,src/revparse.c,revparse.c,930,667,21,242,210,20497,421
C,tests/refs/revparse.c,revparse.c,864,558,157,149,13,27613,471
C,src/path.c,path.c,1911,1404,138,369,459,43330,1007
JSON,package.json,package.json,7,7,0,0,0,282,8
C,tests/checkout/nasty.c,nasty.c,378,251,69,58,1,12141,178
C,src/index.c,index.c,3660,2697,182,781,614,89205,1823
C,src/transports/http.c,http.c,1105,795,62,248,173,25529,588
C,tests/path/dotgit.c,dotgit.c,119,93,4,22,4,2470,90
C,src/delta.c,delta.c,621,486,55,80,100,18668,459
C,src/checkout.c,checkout.c,2799,2114,157,528,615,74825,1488
Markdown,docs/changelog.md,changelog.md,1043,733,0,310,0,41719,705
C,tests/diff/binary.c,binary.c,546,444,0,102,9,14573,221
C,tests/delta/apply.c,apply.c,21,16,0,5,0,549,12
CMake,CMakeLists.txt,CMakeLists.txt,291,248,28,15,7,10405,217
CMake,tests/CMakeLists.txt,CMakeLists.txt,65,48,3,14,0,2717,49
