Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Makefile,makefile,makefile,197,129,33,35,0,6855,160
C,lvm.c,lvm.c,1789,1367,279,143,321,56036,1074
C,ltm.c,ltm.c,261,201,20,40,33,7766,180
C Header,lstate.h,lstate.h,364,180,119,65,10,13071,266
C,lstate.c,lstate.c,461,329,72,60,39,12405,339
C,lparser.c,lparser.c,1983,1484,260,239,278,56896,1248
C,lgc.c,lgc.c,1615,1009,403,203,251,51105,1000
C Header,ldo.h,ldo.h,75,40,16,19,2,2679,55
C,ldo.c,ldo.c,822,599,127,96,135,26567,578
C Header,ldebug.h,ldebug.h,47,28,9,10,0,1819,35
C,ldebug.c,ldebug.c,839,646,88,105,158,24410,539
C,lapi.c,lapi.c,1413,1111,77,225,170,34662,700
Lua,testes/gengc.lua,gengc.lua,83,41,17,25,26,2027,46
Lua,testes/db.lua,db.lua,958,927,7,24,79,23961,664
Lua,testes/attrib.lua,attrib.lua,492,460,13,19,22,12677,347
