Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,packages/backend/src/api/v1/auth/utils.ts,utils.ts,205,165,7,33,28,5481,150
TypeScript,packages/backend/src/api/v1/users.ts,users.ts,394,328,4,62,45,9917,246
TypeScript,packages/backend/src/emails/templates.ts,templates.ts,200,145,0,55,18,4753,82
TypeScript,packages/backend/src/api/v1/templates.ts,templates.ts,602,204,363,35,9,17014,335
TypeScript,packages/backend/src/api/v1/template-versions.ts,template-versions.ts,213,126,67,20,10,6124,169
TypeScript,packages/frontend/pages/team.tsx,team.tsx,883,790,7,86,86,24185,627
CSS,packages/frontend/pages/team.module.css,team.module.css,6,6,0,0,0,106,7
TypeScript,packages/frontend/pages/signup.tsx,signup.tsx,497,426,21,50,45,16077,401
TypeScript,packages/backend/src/api/v1/auth/saml.ts,saml.ts,222,171,10,41,23,6595,151
TypeScript,packages/shared/access-control/roles.ts,roles.ts,582,577,0,5,32,11290,123
JSON,package.json,package.json,36,36,0,0,0,1309,35
JSON,packages/frontend/package.json,package.json,52,52,0,0,0,1468,52
TypeScript,packages/backend/src/api/v1/orgs.ts,orgs.ts,252,193,13,46,17,5776,155
TypeScript,packages/backend/src/utils/ml.ts,ml.ts,15,14,0,1,0,314,15
Shell,packages/frontend/load-env.sh,load-env.sh,18,10,4,4,2,522,14
TypeScript,packages/frontend/pages/join.tsx,join.tsx,295,262,0,33,43,7961,236
TypeScript,packages/frontend/pages/settings/index.tsx,index.tsx,422,377,15,30,24,12364,350
TypeScript,packages/frontend/pages/index.tsx,index.tsx,36,31,0,5,4,791,29
TypeScript,packages/frontend/pages/billing/index.tsx,index.tsx,172,153,2,17,13,4870,142
TypeScript,packages/backend/src/api/v1/datasets/index.ts,index.ts,777,352,359,66,12,17740,308
TypeScript,packages/backend/src/types/index.ts,index.ts,1,1,0,0,0,34,2
TypeScript,packages/backend/src/api/v1/auth/index.ts,index.ts,378,305,8,65,30,9068,248
TypeScript,packages/backend/src/api/v1/runs/index.ts,index.ts,1071,592,401,78,106,28653,655
TypeScript,packages/backend/src/api/v1/projects/index.ts,index.ts,263,216,1,46,15,6730,146
TypeScript,packages/backend/src/api/v1/evaluations/index.ts,index.ts,232,186,7,39,13,6230,164
TypeScript,packages/backend/src/api/v1/external-users.ts,external-users.ts,310,159,130,21,11,7591,209
TypeScript,packages/backend/src/types/database.ts,database.ts,14,14,0,0,13,385,15
TypeScript,packages/backend/src/utils/cors.ts,cors.ts,30,28,0,2,4,944,27
YAML,.github/workflows/build-push-deploy.yml,build-push-deploy.yml,80,71,0,9,0,2594,66
TypeScript,packages/backend/src/utils/authorization.ts,authorization.ts,40,34,1,5,3,1062,33
TypeScript,packages/frontend/pages/analytics.tsx,analytics.tsx,581,495,19,67,60,15621,405
TypeScript,packages/frontend/components/blocks/SocialProof.tsx,SocialProof.tsx,32,31,0,1,0,826,32
TypeScript,packages/frontend/components/layout/Sidebar.tsx,Sidebar.tsx,672,625,3,44,49,19428,528
TypeScript,packages/frontend/components/blocks/SettingsCard.tsx,SettingsCard.tsx,47,44,1,2,3,1054,46
TypeScript,packages/frontend/components/layout/Paywall.tsx,Paywall.tsx,149,140,2,7,17,3553,138
TypeScript,packages/frontend/components/blocks/CopyText.tsx,CopyText.tsx,46,43,0,3,6,1110,43
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,27,20,0,7,0,1533,21
TypeScript,packages/frontend/components/layout/Analytics.tsx,Analytics.tsx,59,47,0,12,5,1441,45
SQL,packages/db/0010.sql,0010.sql,1,1,0,0,0,51,1
SQL,packages/db/0006.sql,0006.sql,13,11,0,2,2,483,12
