Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,src/lxc/utils.h,utils.h,440,291,100,49,35,12289,309
C,src/lxc/utils.c,utils.c,1755,1227,194,334,367,34709,896
C,src/lxc/lxclock.c,lxclock.c,388,282,33,73,47,7172,204
C,src/lxc/cmd/lxc_user_nic.c,lxc_user_nic.c,1331,972,122,237,215,29792,716
Autoconf,doc/lxc.container.conf.sgml.in,lxc.container.conf.sgml.in,2625,2464,0,161,111,101135,1202
BASH,src/tests/lxc-test-symlink,lxc-test-symlink,89,58,13,18,11,2558,68
Autoconf,doc/lxc-attach.sgml.in,lxc-attach.sgml.in,450,406,0,44,21,15870,272
C,src/tests/locktests.c,locktests.c,153,111,18,24,23,3257,99
C,src/lxc/conf.c,conf.c,4889,3742,369,778,922,118804,2487
C,src/lxc/attach.c,attach.c,1591,1082,221,288,289,39044,914
