Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,src/usercontent/index.ts,index.ts,72,43,21,8,7,2432,59
JSON,src/i18n/strings/en_EN.json,en_EN.json,3711,3711,0,0,0,308817,3712
TypeScript,src/SlashCommands.tsx,SlashCommands.tsx,1428,1270,74,84,175,59066,790
TypeScript,src/components/views/rooms/SearchResultTile.tsx,SearchResultTile.tsx,138,100,23,15,5,5707,117
TypeScript,src/utils/RoomUpgrade.ts,RoomUpgrade.ts,151,114,20,17,21,5391,122
TypeScript,src/RoomInvite.tsx,RoomInvite.tsx,206,152,40,14,21,8350,163
TypeScript,src/utils/MultiInviter.ts,MultiInviter.ts,366,272,46,48,73,14929,249
TypeScript,src/components/views/messages/MFileBody.tsx,MFileBody.tsx,370,247,86,37,48,16256,280
TypeScript,src/components/views/dialogs/InviteDialog.tsx,InviteDialog.tsx,1367,1111,106,150,231,55420,916
TypeScript,src/HtmlUtils.tsx,HtmlUtils.tsx,759,502,183,74,123,27615,557
TypeScript,test/HtmlUtils-test.tsx,HtmlUtils-test.tsx,64,39,15,10,1,2485,45
TypeScript,src/utils/exportUtils/HtmlExport.tsx,HtmlExport.tsx,468,417,18,33,43,19692,377
TypeScript,test/utils/exportUtils/HTMLExport-test.ts,HTMLExport-test.ts,52,29,15,8,0,1871,39
