Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,synapse/http/federation/well_known_resolver.py,well_known_resolver.py,339,191,86,62,41,12324,243
Python,synapse/config/tls.py,tls.py,186,124,35,27,18,7461,135
Python,tests/handlers/test_typing.py,test_typing.py,481,370,32,79,4,16224,210
Python,tests/rest/client/test_typing.py,test_typing.py,108,70,18,20,0,3579,67
Python,tests/test_server.py,test_server.py,523,356,71,96,6,18649,258
Python,tests/rest/client/test_rooms.py,test_rooms.py,3600,3031,266,303,25,136019,1471
Python,tests/storage/test_roommember.py,test_roommember.py,258,161,52,45,3,9961,141
Python,tests/rest/key/v2/test_remote_key_resource.py,test_remote_key_resource.py,275,241,21,13,0,10721,193
Python,tests/storage/test_redaction.py,test_redaction.py,449,322,33,94,1,15655,195
Python,tests/replication/test_pusher_shard.py,test_pusher_shard.py,185,126,27,32,0,6639,111
Python,tests/push/test_push_rule_evaluator.py,test_push_rule_evaluator.py,950,913,28,9,36,32769,421
Python,tests/storage/test_purge.py,test_purge.py,124,73,33,18,0,4995,76
Python,tests/handlers/test_profile.py,test_profile.py,398,358,16,24,0,13886,207
Python,tests/rest/client/test_profile.py,test_profile.py,445,360,43,42,3,16425,191
Python,tests/handlers/test_presence.py,test_presence.py,1155,871,98,186,3,41672,402
Python,tests/rest/client/test_presence.py,test_presence.py,78,40,22,16,0,2686,51
Python,tests/app/test_openid_listener.py,test_openid_listener.py,137,87,30,20,6,4624,75
Python,tests/media/test_media_storage.py,test_media_storage.py,792,737,30,25,5,28287,466
Python,tests/http/federation/test_matrix_federation_agent.py,test_matrix_federation_agent.py,1586,1559,14,13,0,58470,621
Python,tests/crypto/test_keyring.py,test_keyring.py,762,682,35,45,6,29245,427
Python,tests/push/test_http.py,test_http.py,1001,815,114,72,1,39363,408
Python,tests/media/test_html_preview.py,test_html_preview.py,542,517,19,6,18,20335,231
Python,tests/api/test_filtering.py,test_filtering.py,636,508,43,85,7,24426,280
Python,tests/federation/test_federation_server.py,test_federation_server.py,335,314,14,7,0,13096,195
Python,tests/replication/test_federation_sender_shard.py,test_federation_sender_shard.py,251,229,17,5,0,9138,138
Python,tests/handlers/test_federation.py,test_federation.py,791,703,50,38,5,30053,464
Python,tests/test_federation.py,test_federation.py,365,313,26,26,2,14748,258
Python,tests/storage/test_e2e_room_keys.py,test_e2e_room_keys.py,80,46,19,15,0,2894,50
Python,tests/handlers/test_directory.py,test_directory.py,610,473,68,69,0,21728,278
Python,tests/handlers/test_device.py,test_device.py,484,368,50,66,4,17377,283
Python,tests/rest/admin/test_admin.py,test_admin.py,497,363,61,73,0,17274,222
HTML,synapse/res/templates/sso_redirect_confirm.html,sso_redirect_confirm.html,39,34,0,5,0,1905,32
HTML,synapse/res/templates/sso_login_idp_picker.html,sso_login_idp_picker.html,60,54,0,6,0,1258,50
HTML,synapse/res/templates/sso_error.html,sso_error.html,71,66,0,5,0,2807,57
HTML,synapse/res/templates/sso_auth_confirm.html,sso_auth_confirm.html,27,25,0,2,0,698,25
HTML,synapse/res/templates/sso_auth_bad_user.html,sso_auth_bad_user.html,26,24,0,2,0,812,22
Python,synapse/server.py,server.py,893,595,144,154,31,31466,573
YAML,docs/sample_config.yaml,sample_config.yaml,43,20,22,1,0,1725,38
Python,synapse/config/registration.py,registration.py,262,246,14,2,7,12018,200
Python,synapse/media/preview_html.py,preview_html.py,501,453,32,16,9,17329,360
Python,synapse/handlers/message.py,message.py,2208,1733,334,141,157,95335,1471
Python,synapse/media/media_repository.py,media_repository.py,1047,799,150,98,62,38510,652
Python,synapse/http/matrixfederationclient.py,matrixfederationclient.py,1347,1328,13,6,3,47749,719
Python,synapse/http/federation/matrix_federation_agent.py,matrix_federation_agent.py,432,322,96,14,15,15919,321
Python,synapse/push/mailer.py,mailer.py,929,838,66,25,9,32638,583
Python,synapse/crypto/keyring.py,keyring.py,923,876,38,9,13,34097,584
Python,synapse/handlers/identity.py,identity.py,809,776,23,10,9,31001,519
Python,synapse/push/httppusher.py,httppusher.py,530,478,34,18,17,20349,393
Python,synapse/app/generic_worker.py,generic_worker.py,334,261,32,41,32,13313,274
Python,synapse/federation/federation_server.py,federation_server.py,1558,1457,55,46,47,61564,1037
Python,synapse/federation/federation_base.py,federation_base.py,317,172,111,34,41,12593,237
Python,synapse/handlers/federation.py,federation.py,2033,1694,255,84,86,86065,1369
Python,synapse/config/federation.py,federation.py,53,27,15,11,3,2053,39
Python,synapse/handlers/e2e_keys.py,e2e_keys.py,1632,1592,26,14,25,66869,1117
Python,synapse/handlers/device.py,device.py,1457,1384,56,17,24,56745,973
Python,synapse/api/constants.py,constants.py,305,237,30,38,1,9048,207
Python,synapse/config/consent.py,consent.py,67,45,13,9,3,2574,53
Python,synapse/federation/transport/client.py,client.py,1073,880,150,43,10,35145,529
Python,synapse/http/client.py,client.py,1158,1040,77,41,18,40242,638
Python,synapse/config/captcha.py,captcha.py,47,26,13,8,4,1785,36
Python,synapse/config/_base.py,_base.py,1039,951,60,28,16,36340,660
Python,tests/replication/_base.py,_base.py,599,487,66,46,13,22555,407
Python,synapse/util/__init__.py,__init__.py,203,89,78,36,12,7073,145
ReStructuredText,UPGRADE.rst,UPGRADE.rst,7,5,0,2,0,257,6
