Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Clojure,src/metabase/api/session.clj,session.clj,363,299,26,38,19,18022,310
JavaScript,e2e/test/scenarios/permissions/permissions-baseline.cy.spec.js,permissions-baseline.cy.spec.js,71,60,2,9,1,1889,59
Mustache,src/metabase/email/password_reset.mustache,password_reset.mustache,31,31,0,0,0,1766,29
JavaScript,e2e/test/scenarios/native/native.cy.spec.js,native.cy.spec.js,400,315,24,61,1,12531,212
Clojure,test/metabase/email/messages_test.clj,messages_test.clj,108,98,3,7,8,5374,91
Clojure,src/metabase/email/messages.clj,messages.clj,699,617,12,70,39,33422,603
TypeScript,frontend/src/metabase/query_builder/actions/core/initializeQB.unit.spec.ts,initializeQB.unit.spec.ts,825,675,0,150,39,24976,460
TypeScript,frontend/src/metabase/query_builder/actions/core/initializeQB.ts,initializeQB.ts,371,310,11,50,44,9495,264
Clojure,test/metabase/api/geojson_test.clj,geojson_test.clj,248,216,16,16,23,14382,224
Clojure,src/metabase/api/geojson.clj,geojson.clj,158,140,1,17,7,6437,134
Clojure,test/metabase/email_test.clj,email_test.clj,303,264,15,24,14,15011,269
JavaScript,e2e/support/helpers/e2e-misc-helpers.js,e2e-misc-helpers.js,288,173,68,47,16,7699,182
JavaScript,e2e/support/helpers/e2e-ad-hoc-question-helpers.js,e2e-ad-hoc-question-helpers.js,164,112,25,27,8,4570,107
JavaScript,e2e/test/scenarios/visualizations/reproductions/11727-cancel-native-query-shortcut.cy.spec.js,11727-cancel-native-query-shortcut.cy.spec.js,40,35,0,5,0,965,35
