Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,htmldoc/util.cxx,util.cxx,524,377,68,79,80,11444,300
C++,htmldoc/toc.cxx,toc.cxx,328,208,53,67,68,8691,218
C++,htmldoc/testhtml.cxx,testhtml.cxx,235,190,19,26,25,6546,179
C++,htmldoc/ps-pdf.cxx,ps-pdf.cxx,13183,9596,1186,2401,3000,340959,6254
C++,htmldoc/image.cxx,image.cxx,1942,1271,277,394,328,42689,950
C++,htmldoc/htmlsep.cxx,htmlsep.cxx,1162,832,109,221,245,28679,681
C++,htmldoc/htmllib.cxx,htmllib.cxx,3856,2863,333,660,1076,90885,1857
C++,htmldoc/html.cxx,html.cxx,1103,805,100,198,268,26429,616
C,htmldoc/file.c,file.c,1130,741,156,233,311,26781,576
Markdown,CHANGES.md,CHANGES.md,357,281,0,76,0,14636,282
