Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,ttf.c,ttf.c,2003,1348,269,386,269,55475,1087
C Header,pdfio.h,pdfio.h,250,199,29,22,3,14436,212
C,pdfio-value.c,pdfio-value.c,730,555,61,114,143,20367,414
C,pdfio-token.c,pdfio-token.c,671,469,108,94,118,14256,347
C,pdfio-stream.c,pdfio-stream.c,1374,948,185,241,278,37538,687
C,pdfio-object.c,pdfio-object.c,544,326,90,128,103,13016,240
C,pdfio-file.c,pdfio-file.c,2345,1497,376,472,391,62651,1004
C,pdfio-dict.c,pdfio-dict.c,999,566,183,250,147,24061,399
C,pdfio-common.c,pdfio-common.c,575,347,107,121,84,13995,296
Shell,configure,configure,5554,4645,429,480,517,155262,2813
Markdown,CHANGES.md,CHANGES.md,118,85,0,33,0,3799,81
