Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Shell,buildscripts/verify-healing.sh,verify-healing.sh,123,96,4,23,13,3138,73
Go,cmd/update.go,update.go,584,420,98,66,115,17110,340
Go,cmd/streaming-signature-v4.go,streaming-signature-v4.go,450,297,103,50,102,13204,286
Go,cmd/signature-v4_test.go,signature-v4_test.go,302,248,40,14,17,10510,147
Go,cmd/signature-v4.go,signature-v4.go,394,238,98,58,56,12380,265
Go,cmd/signature-v4-utils_test.go,signature-v4-utils_test.go,275,179,62,34,47,10335,184
Go,cmd/signature-v4-utils.go,signature-v4-utils.go,216,128,71,17,31,7281,162
Go,cmd/signature-v2_test.go,signature-v2_test.go,274,205,47,22,37,7947,159
Go,cmd/signature-v2.go,signature-v2.go,409,284,79,46,69,12382,278
Go,internal/hash/reader.go,reader.go,228,141,63,24,44,6543,163
Go,cmd/object-handlers.go,object-handlers.go,4103,3193,400,510,1123,135011,1458
Go,cmd/object-api-utils_test.go,object-api-utils_test.go,649,574,43,32,59,18878,336
Go,cmd/object-api-utils.go,object-api-utils.go,1017,704,215,98,198,30035,668
Go,cmd/object-api-multipart_test.go,object-api-multipart_test.go,1875,1328,469,78,207,77028,817
Go,cmd/iam.go,iam.go,2617,1875,332,410,654,71345,1205
Go,cmd/generic-handlers.go,generic-handlers.go,601,439,114,48,160,20497,382
Go,cmd/bucket-object-lock.go,bucket-object-lock.go,349,239,74,36,96,13755,223
Go,cmd/bucket-handlers.go,bucket-handlers.go,1776,1299,234,243,424,57655,837
Go,cmd/auth-handler_test.go,auth-handler_test.go,486,373,71,42,66,15385,225
Go,cmd/auth-handler.go,auth-handler.go,683,524,97,62,157,22801,411
Go,cmd/api-router.go,api-router.go,526,369,115,42,17,23075,357
Go,cmd/api-errors.go,api-errors.go,2221,2100,74,47,38,79795,1456
Go,cmd/admin-handlers-users.go,admin-handlers-users.go,1356,1046,91,219,387,39192,483
Makefile,Makefile,Makefile,91,67,5,19,8,3402,70
