Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,miniupnpd/upnpsoap.c,upnpsoap.c,2394,1957,233,204,323,69306,1112
C,miniupnpd/upnpreplyparse.c,upnpreplyparse.c,197,170,16,11,28,4525,135
C,miniupnpc/upnpreplyparse.c,upnpreplyparse.c,197,170,16,11,28,4525,135
C,miniupnpd/upnpredirect.c,upnpredirect.c,790,644,90,56,113,21846,511
C,miniupnpd/upnpevents.c,upnpevents.c,690,620,44,26,158,17794,479
C,minissdpd/testminissdpd.c,testminissdpd.c,196,165,11,20,26,5225,117
C,miniupnpd/pcpserver.c,pcpserver.c,1723,1371,176,176,290,52582,1029
C,miniupnpc/miniwget.c,miniwget.c,664,572,70,22,155,16884,457
C,miniupnpc/miniupnpc.c,miniupnpc.c,696,580,75,41,115,20222,500
C,minissdpd/minissdpd.c,minissdpd.c,1690,1439,186,65,382,46730,1152
C,miniupnpc/minissdpc.c,minissdpc.c,969,847,80,42,200,27334,650
C,miniupnpc/minisoap.c,minisoap.c,117,79,33,5,7,3523,105
C,miniupnpc/igd_desc_parse.c,igd_desc_parse.c,123,93,23,7,27,4622,105
Plain Text,miniupnpc/Changelog.txt,Changelog.txt,753,541,0,212,0,18265,542
Plain Text,minissdpd/Changelog.txt,Changelog.txt,168,119,0,49,0,3682,118
