Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,mlflow/server/validation.py,validation.py,31,18,7,6,3,1116,21
Python,mlflow/utils/uri.py,uri.py,475,449,12,14,19,17686,328
Python,tests/utils/test_uri.py,test_uri.py,892,820,13,59,15,34264,587
Python,tests/store/tracking/test_sqlalchemy_store.py,test_sqlalchemy_store.py,3922,3859,10,53,54,156618,2154
Python,tests/utils/test_rest_utils.py,test_rest_utils.py,600,595,0,5,3,21368,266
Python,tests/tracking/test_rest_tracking.py,test_rest_tracking.py,1763,1711,7,45,27,66080,839
Python,tests/store/tracking/test_rest_store.py,test_rest_store.py,484,423,4,57,26,17614,318
Python,tests/utils/test_request_utils.py,test_request_utils.py,162,158,0,4,0,5094,69
Python,tests/data/test_http_dataset_source.py,test_http_dataset_source.py,185,149,5,31,11,7228,112
Python,tests/store/artifact/test_http_artifact_repo.py,test_http_artifact_repo.py,473,438,4,31,17,16258,286
Python,tests/server/test_handlers.py,test_handlers.py,804,734,10,60,19,29724,494
Python,tests/store/artifact/test_ftp_artifact_repo.py,test_ftp_artifact_repo.py,423,300,23,100,14,13991,226
Python,tests/utils/test_file_utils.py,test_file_utils.py,389,370,7,12,5,13730,277
Python,tests/store/model_registry/test_file_store.py,test_file_store.py,1581,1559,5,17,15,65102,876
Python,tests/store/tracking/test_file_store.py,test_file_store.py,2701,2503,48,150,101,102358,1389
Python,tests/store/artifact/test_databricks_artifact_repo.py,test_databricks_artifact_repo.py,1486,1476,0,10,6,61896,628
Python,tests/projects/test_databricks.py,test_databricks.py,501,469,4,28,10,18874,326
Python,tests/models/test_cli.py,test_cli.py,846,828,4,14,11,28137,386
Python,tests/artifacts/test_artifacts.py,test_artifacts.py,269,213,0,56,19,10469,165
ReStructuredText,docs/source/rest-api.rst,rest-api.rst,2987,1772,0,1215,0,140225,1007
ReStructuredText,docs/source/auth/rest-api.rst,rest-api.rst,503,371,0,132,0,19617,209
Python,mlflow/utils/request_utils.py,request_utils.py,238,211,23,4,1,8850,170
Python,tests/tracking/integration_test_utils.py,integration_test_utils.py,80,59,11,10,6,2590,68
Python,mlflow/data/http_dataset_source.py,http_dataset_source.py,135,130,2,3,0,4555,92
Python,mlflow/store/artifact/http_artifact_repo.py,http_artifact_repo.py,208,187,3,18,31,9021,157
Python,mlflow/server/handlers.py,handlers.py,2181,2175,1,5,8,80479,1181
Python,mlflow/store/artifact/ftp_artifact_repo.py,ftp_artifact_repo.py,133,127,1,5,5,5233,110
Python,mlflow/utils/file_utils.py,file_utils.py,1047,933,58,56,34,35701,703
Python,mlflow/store/model_registry/file_store.py,file_store.py,960,830,84,46,53,41195,585
Python,mlflow/environment_variables.py,environment_variables.py,501,194,209,98,8,21534,309
Python,mlflow/pyfunc/backend.py,backend.py,422,405,11,6,3,16480,318
Python,mlflow/pyfunc/_mlflow_pyfunc_backend_predict.py,_mlflow_pyfunc_backend_predict.py,29,19,3,7,5,783,22
Python,mlflow/pyfunc/scoring_server/__init__.py,__init__.py,520,360,85,75,80,19866,364
Python,mlflow/recipes/cards/__init__.py,__init__.py,300,262,20,18,5,10356,202
Python,mlflow/server/auth/__init__.py,__init__.py,961,880,17,64,14,30594,601
