Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,daemon/graphdriver/zfs/zfs.go,zfs.go,436,349,27,60,103,12051,266
Go,image/store.go,store.go,347,279,18,50,86,8546,213
Go,distribution/pull_v2.go,pull_v2.go,1101,873,88,140,316,34122,618
Go,builder/builder-next/adapters/containerimage/pull.go,pull.go,862,708,55,99,202,23237,546
Go,daemon/graphdriver/overlay2/overlay.go,overlay.go,732,534,102,96,187,22292,445
Go,daemon/oci_linux.go,oci_linux.go,1168,953,114,101,315,35755,685
Go,oci/oci.go,oci.go,71,55,10,6,17,2525,55
Go,builder/dockerfile/mockbackend_test.go,mockbackend_test.go,151,118,1,32,10,4135,79
Go,integration/network/macvlan/macvlan_test.go,macvlan_test.go,277,212,24,41,8,10172,156
Go,volume/local/local.go,local.go,426,309,59,58,75,11772,265
Go,integration/network/ipvlan/ipvlan_test.go,ipvlan_test.go,440,345,40,55,10,16429,226
Go,builder/dockerfile/internals.go,internals.go,390,292,44,54,66,12823,247
Go,libnetwork/osl/interface_linux.go,interface_linux.go,403,306,45,52,94,11961,251
Go,builder/dockerfile/imageprobe.go,imageprobe.go,79,62,4,13,10,2029,51
Go,daemon/images/image_commit.go,image_commit.go,127,99,15,13,34,3334,81
Go,daemon/images/image_builder.go,image_builder.go,261,217,11,33,77,7522,159
Go,pkg/idtools/idtools_unix.go,idtools_unix.go,278,219,37,22,87,8315,159
Go,pkg/idtools/idtools.go,idtools.go,229,163,36,30,43,7137,154
Go,daemon/graphdriver/fuse-overlayfs/fuseoverlayfs.go,fuseoverlayfs.go,520,390,62,68,142,15132,314
Go,daemon/exec_linux.go,exec_linux.go,105,85,8,12,27,3059,70
Go,daemon/graphdriver/vfs/driver.go,driver.go,229,177,21,31,47,6450,151
Go,builder/dockerfile/dispatchers.go,dispatchers.go,599,422,112,65,142,20688,367
Go,oci/defaults.go,defaults.go,195,171,16,8,4,4916,122
Go,daemon/daemon_unix.go,daemon_unix.go,1504,1156,195,153,518,55466,945
Go,daemon/daemon.go,daemon.go,1569,1136,233,200,342,52899,1016
Go,daemon/create.go,create.go,366,299,28,39,140,12597,231
Go,builder/dockerfile/copy.go,copy.go,545,424,57,64,149,15743,330
Go,daemon/container_operations_unix.go,container_operations_unix.go,458,341,58,59,124,15437,263
Go,image/cache/compare.go,compare.go,63,56,2,5,34,1352,39
Go,image/cache/cache.go,cache.go,253,208,16,29,76,6765,159
Go,daemon/containerd/cache.go,cache.go,93,70,7,16,27,2393,59
Go,builder/builder.go,builder.go,115,66,34,15,0,4318,89
Go,daemon/graphdriver/btrfs/btrfs.go,btrfs.go,667,505,70,92,174,17760,362
Go,pkg/authorization/authz_unix_test.go,authz_unix_test.go,348,298,10,40,55,8793,177
Go,pkg/authorization/authz.go,authz.go,190,131,30,29,32,5603,126
Go,pkg/chrootarchive/archive.go,archive.go,96,60,24,12,17,3256,69
