Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,mono/metadata/verify.c,verify.c,6514,4992,523,999,1414,212841,3137
C Header,mono/metadata/verify-internals.h,verify-internals.h,74,55,4,15,12,4151,60
C,mono/metadata/threads.c,threads.c,7028,4725,1051,1252,778,203641,3394
C,mono/metadata/runtime.c,runtime.c,171,96,43,32,9,3974,109
C,mono/metadata/reflection.c,reflection.c,3186,2233,532,421,512,105197,1732
C Header,mono/metadata/object-internals.h,object-internals.h,2432,1780,209,443,30,71860,1383
C,mono/metadata/loader.c,loader.c,2193,1584,285,324,354,68549,1180
C,mono/metadata/icall.c,icall.c,9877,7862,527,1488,1448,308097,4631
C Header,mono/metadata/icall-def.h,icall-def.h,1196,943,126,127,5,107431,1013
C,mono/metadata/gc.c,gc.c,1426,940,250,236,155,39604,794
C Header,mono/metadata/gc-internals.h,gc-internals.h,433,201,131,101,10,15754,278
C#,mcs/class/System.Web/System.Web/HttpForbiddenHandler.cs,HttpForbiddenHandler.cs,57,24,28,5,4,2027,46
C#,mcs/class/corlib/System.Reflection.Emit/DynamicMethod.cs,DynamicMethod.cs,476,344,56,76,66,14040,291
