Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,admin/modules/user/users.php,users.php,4083,3344,246,493,582,140133,2105
PHP,admin/modules/config/smilies.php,smilies.php,683,539,19,125,79,22195,312
XML,install/resources/settings.xml,settings.xml,1985,1985,0,0,0,97853,841
PHP,admin/modules/config/settings.php,settings.php,1430,1134,101,195,186,49561,650
XML,install/resources/mybb_theme.xml,mybb_theme.xml,11311,10560,517,234,0,492299,4743
PHP,misc.php,misc.php,784,698,24,62,157,20401,431
PHP,install/index.php,index.php,2278,1910,115,253,179,84450,1516
PHP,inc/functions.php,functions.php,6604,4820,1030,754,898,152076,3053
PHP,admin/inc/functions.php,functions.php,749,537,119,93,95,17948,389
PHP,inc/class_parser.php,class_parser.php,1436,1098,221,117,66,39755,679
PHP,admin/modules/tools/backupdb.php,backupdb.php,461,372,18,71,81,13478,242
