Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,include/sslopt-vars.h,sslopt-vars.h,75,48,19,8,4,2884,67
C Header,include/sslopt-longopts.h,sslopt-longopts.h,67,52,14,1,1,2878,55
C Header,include/sslopt-case.h,sslopt-case.h,63,44,16,3,7,2222,54
C Header,include/sql_common.h,sql_common.h,206,135,45,26,1,7711,163
C++,sql/rpl_slave.cc,rpl_slave.cc,11536,7152,3339,1045,1381,402378,6679
C++,client/mysqltest.cc,mysqltest.cc,11191,9092,1184,915,932,302566,6357
C++,client/mysqlslap.cc,mysqlslap.cc,2358,1881,179,298,332,70145,1321
C,client/mysqlshow.c,mysqlshow.c,971,841,47,83,151,27054,580
C,client/mysqlimport.c,mysqlimport.c,769,637,49,83,111,24593,540
C,client/mysqldump.c,mysqldump.c,6172,4739,837,596,733,193142,3504
C++,client/check/mysqlcheck.cc,mysqlcheck.cc,566,493,30,43,56,20696,422
C++,client/mysqlbinlog.cc,mysqlbinlog.cc,3491,2225,982,284,414,116468,2111
C++,client/mysqladmin.cc,mysqladmin.cc,1666,1353,176,137,224,48625,1046
CMake,cmake/mysql_version.cmake,mysql_version.cmake,172,107,37,28,0,6097,132
C++,client/mysql_secure_installation.cc,mysql_secure_installation.cc,1021,735,194,92,136,30444,628
C,client/mysql_plugin.c,mysql_plugin.c,1277,838,304,135,149,33786,681
C,testclients/mysql_client_test.c,mysql_client_test.c,21093,15679,1278,4136,1423,581622,7750
Puppet,include/mysql.h.pp,mysql.h.pp,714,701,13,0,0,25303,640
C Header,include/mysql.h,mysql.h,728,479,178,71,8,29172,581
C++,client/mysql.cc,mysql.cc,5867,4990,473,404,743,167457,3855
C,storage/myisam/myisamchk.c,myisamchk.c,1786,1626,54,106,284,61307,1253
C Header,include/myisam.h,myisam.h,470,354,60,56,1,18052,378
C Header,include/my_sys.h,my_sys.h,962,687,158,117,12,39224,758
C,mysys/my_redel.c,my_redel.c,126,84,26,16,18,3442,89
C,storage/myisam/mi_check.c,mi_check.c,4811,3787,673,351,773,158306,2882
C,regex/main.c,main.c,589,487,50,52,170,13426,400
C++,storage/myisam/ha_myisam.cc,ha_myisam.cc,2502,1750,492,260,295,80610,1551
C++,sql-common/client_authentication.cc,client_authentication.cc,282,181,68,33,37,8279,183
C,sql-common/client.c,client.c,6235,4498,1034,703,710,191069,3590
