Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,src/firejail/util.c,util.c,1345,1036,130,179,387,29388,823
C,src/firejail/sandbox.c,sandbox.c,1217,856,198,163,332,30369,738
C,src/firejail/preproc.c,preproc.c,193,133,32,28,42,5530,130
C,src/firejail/main.c,main.c,2678,2228,211,239,1055,73609,1504
C,src/firejail/fs_lib.c,fs_lib.c,385,266,57,62,110,11000,262
C,src/firejail/fs_home.c,fs_home.c,544,391,87,66,149,14943,306
Plain Text,src/man/firejail.txt,firejail.txt,2848,2466,0,382,0,71367,1148
C Header,src/firejail/firejail.h,firejail.h,787,565,122,100,41,25762,658
Shell,configure,configure,5045,4271,438,336,375,147326,2745
C,src/firejail/bandwidth.c,bandwidth.c,400,275,65,60,94,8655,233
