Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,tests/nghttp2_session_test.h,nghttp2_session_test.h,183,156,24,3,0,9320,178
C,tests/nghttp2_session_test.c,nghttp2_session_test.c,13306,8834,963,3509,1911,432087,3602
C Header,lib/nghttp2_session.h,nghttp2_session.h,964,271,629,64,0,35513,581
C,lib/nghttp2_session.c,nghttp2_session.c,8428,6110,813,1505,1519,256186,3524
C Header,lib/nghttp2_option.h,nghttp2_option.h,146,42,99,5,0,4745,102
C,lib/nghttp2_option.c,nghttp2_option.c,145,99,24,22,4,5348,95
C,lib/nghttp2_helper.c,nghttp2_helper.c,803,684,77,42,45,36176,480
C Header,lib/includes/nghttp2/nghttp2.h,nghttp2.h,5815,833,4716,266,7,204305,2766
C,tests/main.c,main.c,471,432,29,10,8,26707,451
CMake,doc/CMakeLists.txt,CMakeLists.txt,354,308,28,18,2,12755,320
