Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,includes/language/vietnamese.php,vietnamese.php,1125,1112,13,0,0,84914,1123
PHP,sources/users.queries.php,users.queries.php,3080,2436,391,253,306,130331,1341
PHP,sources/upload.files.php,upload.files.php,504,359,81,64,82,15489,307
PHP,sources/upload.attachments.php,upload.attachments.php,458,334,73,51,89,15996,326
PHP,includes/language/ukrainian.php,ukrainian.php,1125,1112,13,0,0,85189,1123
PHP,includes/language/turkish.php,turkish.php,1125,1112,13,0,0,84617,1123
PHP,includes/language/swedish.php,swedish.php,1125,1112,13,0,0,82429,1123
PHP,includes/language/spanish.php,spanish.php,1124,1111,13,0,0,92544,1123
PHP,includes/language/russian.php,russian.php,1125,1112,13,0,0,123846,1122
PHP,includes/language/romanian.php,romanian.php,1120,1107,13,0,0,84983,1119
PHP,sources/roles.queries.php,roles.queries.php,612,474,77,61,41,22854,291
PHP,includes/language/portuguese_br.php,portuguese_br.php,1125,1112,13,0,0,88731,1123
PHP,includes/language/portuguese.php,portuguese.php,1124,1111,13,0,0,84926,1122
PHP,includes/language/polish.php,polish.php,1125,1112,13,0,0,88800,1123
PHP,includes/language/norwegian.php,norwegian.php,1125,1112,13,0,0,82713,1123
PHP,sources/main.queries.php,main.queries.php,2778,2416,203,159,65,90789,1184
PHP,sources/main.functions.php,main.functions.php,2967,2051,767,149,177,99067,1637
PHP,includes/language/japanese.php,japanese.php,1125,1112,13,0,0,85883,1124
PHP,sources/items.queries.php,items.queries.php,6627,5059,1079,489,696,294203,3143
PHP,includes/language/italian.php,italian.php,1125,1112,13,0,0,87649,1123
PHP,install/install.queries.php,install.queries.php,1372,1195,108,69,90,76980,894
PHP,index.php,index.php,1340,1134,125,81,101,68841,837
PHP,includes/config/include.php,include.php,76,52,19,5,0,2686,67
PHP,sources/import.queries.php,import.queries.php,1222,899,186,137,180,50387,812
PHP,includes/language/hungarian.php,hungarian.php,1124,1111,13,0,0,87468,1121
PHP,includes/language/greek.php,greek.php,1125,1112,13,0,0,84331,1123
PHP,includes/language/german.php,german.php,1125,1112,13,0,0,92892,1124
PHP,includes/language/french.php,french.php,1123,1110,13,0,0,94410,1121
PHP,sources/folders.queries.php,folders.queries.php,1396,1096,162,138,126,58567,733
PHP,sources/find.queries.php,find.queries.php,653,491,122,40,123,25787,435
PHP,sources/favourites.queries.php,favourites.queries.php,99,62,27,10,15,3436,83
PHP,sources/export.queries.php,export.queries.php,1043,827,126,90,96,55383,753
PHP,includes/language/estonian.php,estonian.php,1125,1112,13,0,0,81670,1122
PHP,error.php,error.php,123,82,30,11,15,4047,95
PHP,includes/language/english.php,english.php,1010,992,16,2,0,73477,985
PHP,includes/language/dutch.php,dutch.php,1125,1112,13,0,0,86997,1124
PHP,includes/language/czech.php,czech.php,1125,1112,13,0,0,92372,1122
PHP,sources/core.php,core.php,590,437,116,37,106,20171,418
PHP,includes/language/chinese.php,chinese.php,1125,1112,13,0,0,80845,1123
PHP,sources/checks.php,checks.php,202,118,59,25,20,6835,134
Plain Text,changelog.txt,changelog.txt,32,26,0,6,0,872,25
PHP,includes/language/catalan.php,catalan.php,1125,1112,13,0,0,85692,1123
PHP,includes/language/bulgarian.php,bulgarian.php,1125,1112,13,0,0,94815,1123
PHP,includes/language/arabic.php,arabic.php,1126,1113,13,0,0,82448,1123
PHP,sources/admin.queries.php,admin.queries.php,2885,2539,213,133,116,100600,1166
