Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Twig Template,src/templates/settings/plugin/_includes/general.twig,general.twig,141,128,0,13,4,7090,98
JSON,composer.json,composer.json,69,69,0,0,0,2363,62
PHP,src/helpers/UrlHelper.php,UrlHelper.php,112,63,37,12,15,3525,79
PHP,src/helpers/Text.php,Text.php,379,215,125,39,41,11726,190
PHP,src/models/MetaGlobalVars.php,MetaGlobalVars.php,281,114,129,38,2,5868,137
PHP,src/services/MetaBundles.php,MetaBundles.php,898,613,236,49,92,35080,530
PHP,src/services/Helper.php,Helper.php,418,161,221,36,3,12544,205
PHP,src/seomatic-config/globalmeta/GlobalVars.php,GlobalVars.php,49,33,14,2,0,1941,45
PHP,src/controllers/FileController.php,FileController.php,91,45,38,8,4,2659,76
PHP,src/helpers/DynamicMeta.php,DynamicMeta.php,675,500,149,26,93,27239,460
Markdown,CHANGELOG.md,CHANGELOG.md,998,810,0,188,0,46151,627
