Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,src/api/test/functional/request_controller_test.rb,request_controller_test.rb,1467,1139,125,203,12,59741,491
Ruby,src/webui/app/controllers/project_controller.rb,project_controller.rb,1427,1264,33,130,124,51622,882
Ruby,src/api/app/models/project.rb,project.rb,39,30,1,8,5,946,28
Ruby,src/api/app/models/package.rb,package.rb,68,54,1,13,5,1484,42
Ruby,src/api/test/unit/db_project_test.rb,db_project_test.rb,231,144,57,30,1,7602,148
Ruby,src/api/app/models/db_project.rb,db_project.rb,1253,991,114,148,174,42190,805
Ruby,src/api/app/models/db_package.rb,db_package.rb,855,688,69,98,119,29521,536
Shell,src/backend/call-service-in-lxc.sh,call-service-in-lxc.sh,115,76,19,20,19,2932,91
Ruby,src/api/test/functional/build_controller_test.rb,build_controller_test.rb,471,373,35,63,0,17421,195
Ruby,src/api/app/controllers/build_controller.rb,build_controller.rb,253,212,12,29,27,8303,144
Perl,src/backend/bs_srcserver,bs_srcserver,6484,5675,385,424,1852,234008,4210
Ruby,src/api/app/controllers/application_controller.rb,application_controller.rb,782,623,70,89,100,28430,542
Ruby,src/webui/app/controllers/application_controller.rb,application_controller.rb,452,374,24,54,83,15441,318
Perl,src/backend/BSHTTP.pm,BSHTTP.pm,386,336,32,18,118,11069,276
