Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,upload/catalog/controller/startup/seo_url.php,seo_url.php,143,81,28,34,16,2978,89
Twig Template,upload/admin/view/template/common/login.twig,login.twig,45,45,0,0,3,2283,40
Twig Template,upload/catalog/view/template/account/login.twig,login.twig,58,58,0,0,4,2673,51
PHP,upload/admin/controller/common/login.php,login.php,116,68,22,26,26,3859,73
PHP,upload/catalog/controller/account/login.php,login.php,300,196,44,60,47,11032,175
PHP,upload/admin/controller/tool/log.php,log.php,176,114,20,42,14,4585,102
Twig Template,upload/catalog/view/template/cms/comment_reply.twig,comment_reply.twig,20,20,0,0,5,936,20
Twig Template,upload/catalog/view/template/cms/comment_list.twig,comment_list.twig,46,43,0,3,7,2717,39
Twig Template,upload/catalog/view/template/cms/comment.twig,comment.twig,216,188,0,28,3,8246,114
PHP,upload/catalog/controller/cms/comment.php,comment.php,479,320,55,104,82,15781,219
PHP,upload/catalog/controller/account/address.php,address.php,513,348,50,115,83,18611,240
