Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,custom/zutil.cli.doc_import.php,zutil.cli.doc_import.php,166,113,41,12,13,6012,139
PHP,interface/forms/reviewofs/view.php,view.php,808,790,13,5,107,53364,180
PHP,interface/forms/CAMOS/view.php,view.php,114,81,23,10,10,3775,85
PHP,version.php,version.php,56,15,34,7,2,2151,48
JavaScript,library/js/utility.js,utility.js,311,218,69,24,26,11028,233
PHP,interface/usergroup/usergroup_admin.php,usergroup_admin.php,603,485,46,72,135,28047,423
JavaScript,interface/super/rules/www/js/cdr-multiselect/ui.multiselect.js,ui.multiselect.js,336,257,44,35,28,11023,249
PHP,interface/orders/types.php,types.php,377,302,43,32,40,15370,278
PHP,interface/patient_file/summary/track_anything_fragment.php,track_anything_fragment.php,60,42,12,6,4,1968,51
PHP,interface/forms/eye_mag/php/taskman_functions.php,taskman_functions.php,527,401,77,49,45,21642,361
PHP,interface/reports/svc_code_financial_report.php,svc_code_financial_report.php,371,303,32,36,31,14511,289
PHP,interface/billing/sl_receipts_report.php,sl_receipts_report.php,739,561,105,73,78,28382,488
PHP,interface/billing/sl_eob_search.php,sl_eob_search.php,1277,1065,105,107,191,63633,881
PHP,interface/billing/sl_eob_process.php,sl_eob_process.php,827,644,99,84,132,31639,541
PHP,interface/billing/sl_eob_invoice.php,sl_eob_invoice.php,786,657,75,54,110,39014,587
PHP,portal/sign/lib/show-signature.php,show-signature.php,104,79,14,11,26,3366,75
PHP,library/custom_template/share_template.php,share_template.php,111,79,25,7,7,4365,93
PHP,portal/messaging/secure_chat.php,secure_chat.php,684,603,18,63,42,26364,489
PHP,interface/billing/search_payments.php,search_payments.php,673,600,36,37,62,35810,485
PHP,interface/main/messages/save.php,save.php,252,202,30,20,48,11665,197
PHP,portal/sign/lib/save-signature.php,save-signature.php,63,44,14,5,11,2525,55
PHP,library/sanitize.inc.php,sanitize.inc.php,136,90,28,18,13,4119,90
PHP,interface/reports/sales_by_item.php,sales_by_item.php,731,633,29,69,131,22131,432
PHP,interface/reports/report_results.php,report_results.php,294,226,18,50,63,9828,176
PHP,interface/reports/referrals_report.php,referrals_report.php,258,212,21,25,16,9095,188
PHP,interface/patient_file/transaction/record_request.php,record_request.php,73,53,10,10,2,2638,59
PHP,interface/patient_file/summary/record_disclosure.php,record_disclosure.php,161,135,15,11,21,6392,129
PHP,interface/reports/receipts_by_method_report.php,receipts_by_method_report.php,709,571,56,82,73,22958,458
PHP,interface/orders/procedure_stats.php,procedure_stats.php,665,493,73,99,123,20231,426
PHP,interface/patient_file/printed_fee_sheet.php,printed_fee_sheet.php,619,478,60,81,71,20495,381
PHP,interface/forms/LBF/printable.php,printable.php,631,537,45,49,76,19109,402
PHP,interface/patient_file/transaction/print_referral.php,print_referral.php,224,172,19,33,22,7454,167
PHP,interface/patient_file/summary/print_amendments.php,print_amendments.php,104,74,11,19,3,3837,77
PHP,interface/reports/prescriptions_report.php,prescriptions_report.php,358,299,23,36,21,12521,248
PHP,interface/patient_file/pos_checkout.php,pos_checkout.php,1145,915,152,78,129,56959,841
PHP,portal/report/portal_patient_report.php,portal_patient_report.php,890,697,81,112,75,31680,574
PHP,interface/main/calendar/modules/PostCalendar/pnadmin.php,pnadmin.php,840,713,55,72,61,34728,601
PHP,interface/super/rules/controllers/browse/view/plans_config.php,plans_config.php,403,318,26,59,53,16488,283
PHP,library/custom_template/personalize.php,personalize.php,460,422,13,25,54,22881,286
PHP,interface/orders/pending_orders.php,pending_orders.php,224,179,15,30,14,8003,168
PHP,interface/billing/payment_pat_sel.inc.php,payment_pat_sel.inc.php,276,239,24,13,22,21012,216
PHP,library/payment.inc.php,payment.inc.php,264,212,31,21,34,12973,146
JavaScript,portal/patient/scripts/app/patientdata.js,patientdata.js,520,416,74,30,66,17786,373
PHP,interface/patient_tracker/patient_tracker.php,patient_tracker.php,1241,1058,92,91,225,66323,866
