Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,pkg/server/test/write_authzmodel.go,write_authzmodel.go,1099,1072,18,9,4,30920,223
Go,pkg/server/commands/write_authzmodel.go,write_authzmodel.go,96,75,5,16,9,3354,66
Go,cmd/validatemodels/validate_models.go,validate_models.go,161,121,9,31,24,4400,112
Go,pkg/typesystem/typesystem_test.go,typesystem_test.go,4248,4169,24,55,28,103454,932
Go,pkg/typesystem/typesystem.go,typesystem.go,1270,937,132,201,287,41875,669
Go,pkg/server/server_test.go,server_test.go,2210,1856,22,332,57,68971,786
Go,pkg/server/test/server.go,server.go,54,42,0,12,0,2340,38
Go,pkg/server/server.go,server.go,1417,1049,139,229,156,54033,659
Go,cmd/run/run_test.go,run_test.go,1466,1210,16,240,78,47322,734
Go,pkg/server/commands/reverseexpand/reverse_expand_test.go,reverse_expand_test.go,744,647,8,89,56,20842,327
Go,pkg/server/commands/reverseexpand/reverse_expand.go,reverse_expand.go,634,501,34,99,69,18312,376
Go,pkg/server/test/reverse_expand.go,reverse_expand.go,1357,1342,0,15,15,32346,309
Go,pkg/testfixtures/storage/postgres.go,postgres.go,184,143,6,35,12,4872,123
Go,pkg/testfixtures/storage/mysql.go,mysql.go,186,146,6,34,12,4823,125
Go,tests/listobjects/listobjects_test.go,listobjects_test.go,40,30,0,10,0,878,28
Go,pkg/server/commands/list_objects.go,list_objects.go,513,398,23,92,70,16118,327
Go,pkg/server/test/list_objects.go,list_objects.go,695,637,11,47,14,20459,320
Go,internal/graph/graph.go,graph.go,418,281,63,74,58,14439,250
Go,pkg/server/commands/expand.go,expand.go,440,369,12,59,71,12727,219
Go,pkg/server/test/expand.go,expand.go,975,949,9,17,4,25829,273
YAML,assets/tests/consolidated_1_1_tests.yaml,consolidated_1_1_tests.yaml,10243,10140,8,95,0,287487,941
Go,internal/graph/check_test.go,check_test.go,3000,2641,18,341,84,94211,1040
Go,internal/graph/check.go,check.go,1507,1126,151,230,226,45911,793
Go,internal/graph/cached_resolver_test.go,cached_resolver_test.go,1009,893,14,102,22,33834,331
Go,internal/graph/cached_resolver.go,cached_resolver.go,234,161,34,39,23,7538,156
Markdown,CHANGELOG.md,CHANGELOG.md,1203,793,0,410,0,67745,640
