Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,crypto/x509/x_all.c,x_all.c,701,575,15,111,45,18922,339
Perl,crypto/bn/asm/x86_64-mont5.pl,x86_64-mont5.pl,3965,3282,284,399,36,87978,1786
C,crypto/bn/asm/x86_64-gcc.c,x86_64-gcc.c,642,520,77,45,44,19042,335
C,crypto/x509/x509_vfy.c,x509_vfy.c,3404,2282,696,426,740,108027,1928
C,crypto/x509/v3_utl.c,v3_utl.c,1287,1000,150,137,432,36455,786
C,crypto/x509/v3_addr.c,v3_addr.c,1321,994,218,109,341,41549,751
C,crypto/ts/ts_lib.c,ts_lib.c,92,69,8,15,8,2474,67
C,ssl/t1_lib.c,t1_lib.c,3486,2625,527,334,975,111368,2039
C,ssl/t1_enc.c,t1_enc.c,871,728,68,75,159,29562,575
C,ssl/statem/statem_srvr.c,statem_srvr.c,4359,3132,783,444,966,146628,2134
C,ssl/statem/statem_clnt.c,statem_clnt.c,3989,2866,665,458,855,130465,1846
C,ssl/ssl_sess.c,ssl_sess.c,1282,923,195,164,233,37811,752
C Header,ssl/ssl_local.h,ssl_local.h,2814,1747,783,284,36,110694,2069
C,ssl/ssl_lib.c,ssl_lib.c,5977,4438,695,844,1098,169033,3100
C,ssl/ssl_err.c,ssl_err.c,565,551,9,5,2,29788,559
C,ssl/record/ssl3_record.c,ssl3_record.c,2108,1405,476,227,475,75477,1192
C Header,include/openssl/ssl3.h,ssl3.h,347,227,64,56,4,14777,267
C Header,include/openssl/ssl.h,ssl.h,2484,1755,467,262,13,113187,2017
Perl,crypto/bn/asm/rsaz-avx2.pl,rsaz-avx2.pl,1984,1757,80,147,20,52355,1180
C,crypto/rsa/rsa_sp800_56b_check.c,rsa_sp800_56b_check.c,442,288,111,43,130,12543,255
C Header,ssl/record/record.h,record.h,238,131,93,14,0,9773,197
C,ssl/record/rec_layer_s3.c,rec_layer_s3.c,1847,1216,443,188,512,64751,1140
C,ssl/record/rec_layer_d1.c,rec_layer_d1.c,1059,679,243,137,219,34711,635
Perl,crypto/poly1305/asm/poly1305-ppc.pl,poly1305-ppc.pl,1981,1620,109,252,17,42618,1083
C,crypto/pkcs7/pk7_mime.c,pk7_mime.c,48,31,9,8,2,1498,35
C,crypto/pkcs7/pk7_doit.c,pk7_doit.c,1223,960,117,146,290,36800,644
C,crypto/x509/pcy_map.c,pcy_map.c,84,55,19,10,18,2709,70
C,crypto/pkcs12/p12_npas.c,p12_npas.c,188,143,19,26,45,5832,128
C,crypto/pkcs12/p12_mutl.c,p12_mutl.c,252,209,19,24,58,8004,170
C,crypto/pkcs12/p12_add.c,p12_add.c,164,130,12,22,21,5144,94
Perl,crypto/bn/asm/mips.pl,mips.pl,2265,2044,91,130,30,49575,899
C,crypto/ec/ecdsa_vrf.c,ecdsa_vrf.c,49,21,24,4,4,1416,34
C,test/ec_internal_test.c,ec_internal_test.c,284,218,33,33,58,9122,183
C,crypto/evp/e_chacha20_poly1305.c,e_chacha20_poly1305.c,637,530,24,83,114,21108,431
C,crypto/evp/e_aes.c,e_aes.c,4137,3274,373,490,734,137310,1907
C,crypto/dsa/dsa_check.c,dsa_check.c,84,48,26,10,16,2341,59
C,crypto/dsa/dsa_asn1.c,dsa_asn1.c,72,49,13,10,7,2242,53
C,ssl/d1_lib.c,d1_lib.c,972,626,204,142,166,30131,577
C,crypto/cms/cms_smime.c,cms_smime.c,893,704,58,131,234,25182,463
C,test/bntest.c,bntest.c,2919,2435,163,321,842,91657,1314
C,crypto/bn/bn_gf2m.c,bn_gf2m.c,1167,876,155,136,193,29755,624
C,crypto/bn/bn_asm.c,bn_asm.c,1039,895,55,89,98,27548,486
C,crypto/asn1/a_verify.c,a_verify.c,196,151,16,29,41,5291,118
Markdown,CHANGES.md,CHANGES.md,18507,12913,0,5594,0,697690,9700
