Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,keystone/common/utils.py,utils.py,528,443,58,27,17,17411,348
Python,keystone/tests/unit/test_v2_keystoneclient.py,test_v2_keystoneclient.py,1374,1238,51,85,23,58102,737
Python,keystone/tests/unit/test_v2.py,test_v2.py,1539,1201,135,203,19,53893,602
Python,keystone/tests/unit/test_auth.py,test_auth.py,1411,1340,38,33,11,60445,785
Python,keystone/service.py,service.py,131,83,22,26,5,4227,96
Python,keystone/exception.py,exception.py,482,319,43,120,17,16258,302
Python,keystone/middleware/core.py,core.py,210,172,21,17,3,7479,133
Python,keystone/identity/core.py,core.py,1352,1217,104,31,29,54553,820
Python,keystone/catalog/core.py,core.py,545,490,41,14,13,19384,317
Python,keystone/contrib/ec2/core.py,core.py,34,17,14,3,0,1271,30
Python,keystone/config.py,config.py,92,62,19,11,1,2957,67
Python,keystone/common/config.py,config.py,1208,1172,31,5,102,67865,966
