Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,nova/api/openstack/wsgi.py,wsgi.py,971,884,49,38,18,35246,709
Python,nova/virt/libvirt/utils.py,utils.py,680,485,150,45,27,25336,506
Python,nova/tests/unit/api/openstack/compute/test_simple_tenant_usage.py,test_simple_tenant_usage.py,619,557,28,34,13,25513,374
Python,nova/tests/unit/api/openstack/compute/test_servers.py,test_servers.py,8347,8268,35,44,18,361215,3472
Python,nova/tests/unit/api/openstack/compute/test_security_groups.py,test_security_groups.py,1610,1571,16,23,8,69206,922
Python,nova/tests/unit/api/openstack/compute/test_rescue.py,test_rescue.py,278,250,13,15,0,11287,152
Python,nova/tests/unit/api/openstack/compute/test_quotas.py,test_quotas.py,1138,1100,23,15,3,48614,521
Python,nova/tests/unit/api/openstack/compute/test_quota_classes.py,test_quota_classes.py,380,361,14,5,0,15697,194
Python,nova/tests/unit/test_quota.py,test_quota.py,2288,2229,32,27,16,92347,999
Python,nova/tests/unit/api/openstack/compute/test_multinic.py,test_multinic.py,170,141,14,15,0,6511,108
Python,nova/tests/unit/api/openstack/compute/test_keypairs.py,test_keypairs.py,472,431,14,27,5,19148,242
Python,nova/tests/unit/api/openstack/compute/test_image_metadata.py,test_image_metadata.py,376,336,14,26,0,17199,165
Python,nova/tests/unit/api/openstack/compute/test_floating_ips.py,test_floating_ips.py,148,127,15,6,0,6484,105
Python,nova/tests/unit/api/openstack/compute/test_flavors_extra_specs.py,test_flavors_extra_specs.py,453,402,14,37,7,18108,271
Python,nova/tests/unit/virt/libvirt/test_driver.py,test_driver.py,29081,28574,217,290,92,1328919,13341
Python,nova/quota.py,quota.py,1481,1227,215,39,53,68370,905
Python,nova/exception.py,exception.py,2428,2361,27,40,78,74829,1348
Python,nova/virt/disk/api.py,api.py,671,540,79,52,40,23098,471
Python,nova/compute/api.py,api.py,6766,6464,193,109,145,321435,4962
Python,nova/db/main/api.py,api.py,4847,4781,41,25,17,177270,2921
Python,nova/scheduler/filters/affinity_filter.py,affinity_filter.py,165,128,23,14,4,6352,109
