Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,internal/transactional.go,transactional.go,72,46,13,13,0,2352,49
Go,internal/token_handler.go,token_handler.go,61,38,11,12,0,2503,41
Go,internal/storage.go,storage.go,50,31,9,10,0,1436,36
Go,internal/revoke_handler.go,revoke_handler.go,49,30,9,10,0,1663,35
Go,revoke_handler.go,revoke_handler.go,129,64,50,15,29,4333,93
Go,handler/oauth2/revocation_test.go,revocation_test.go,176,143,20,13,5,6275,86
Go,handler/oauth2/revocation.go,revocation.go,77,41,25,11,8,2415,56
Go,internal/request.go,request.go,238,151,43,44,0,8692,144
Go,internal/refresh_token_strategy.go,refresh_token_strategy.go,75,48,13,14,0,3017,51
Go,internal/pkce_storage_strategy.go,pkce_storage_strategy.go,74,47,13,14,0,3074,50
Go,internal/openid_id_token_storage.go,openid_id_token_storage.go,74,47,13,14,0,3351,50
Go,internal/oauth2_strategy.go,oauth2_strategy.go,151,100,25,26,0,6433,87
Go,internal/oauth2_storage.go,oauth2_storage.go,148,97,25,26,0,6821,86
Go,internal/oauth2_revoke_storage.go,oauth2_revoke_storage.go,135,88,23,24,0,6361,80
Go,internal/oauth2_owner_storage.go,oauth2_owner_storage.go,123,80,21,22,0,6578,74
Go,internal/oauth2_client_storage.go,oauth2_client_storage.go,74,47,13,14,0,3351,50
Go,storage/memory.go,memory.go,253,199,23,31,13,8153,141
Go,internal/introspector.go,introspector.go,50,31,9,10,0,1801,36
Go,internal/id_token_strategy.go,id_token_strategy.go,50,31,9,10,0,1856,36
Go,token/hmac/hmacsha.go,hmacsha.go,174,104,36,34,30,4858,111
Go,helper_test.go,helper_test.go,46,22,20,4,1,1445,39
Go,handler/openid/helper.go,helper.go,76,43,20,13,6,2132,49
Go,internal/hash.go,hash.go,60,38,11,11,0,1799,43
Go,handler/oauth2/flow_refresh.go,flow_refresh.go,191,127,29,35,49,8052,114
Go,errors_test.go,errors_test.go,35,11,20,4,0,1076,28
Go,errors.go,errors.go,313,272,24,17,3,12572,214
Go,client_manager.go,client_manager.go,31,5,23,3,0,1090,25
Go,client_authentication_test.go,client_authentication_test.go,387,352,20,15,7,16793,181
Go,client_authentication.go,client_authentication.go,260,196,23,41,113,12363,164
Go,internal/client.go,client.go,132,85,23,24,0,4191,80
Go,internal/authorize_response.go,authorize_response.go,114,72,21,21,0,4060,73
Go,internal/authorize_request.go,authorize_request.go,308,197,55,56,0,12234,182
Go,authorize_helper_test.go,authorize_helper_test.go,246,202,37,7,10,7238,142
Go,authorize_helper.go,authorize_helper.go,181,72,91,18,41,7377,127
Go,internal/authorize_handler.go,authorize_handler.go,49,30,9,10,0,1938,35
Go,authorize_error.go,authorize_error.go,77,47,20,10,17,2130,59
Go,internal/authorize_code_strategy.go,authorize_code_strategy.go,75,48,13,14,0,3066,51
Go,internal/authorize_code_storage.go,authorize_code_storage.go,74,47,13,14,0,3206,50
Go,access_write.go,access_write.go,42,17,20,5,2,1280,34
Go,internal/access_token_strategy.go,access_token_strategy.go,75,48,13,14,0,2968,51
Go,internal/access_token_storage.go,access_token_storage.go,74,47,13,14,0,3076,50
Go,internal/access_response.go,access_response.go,135,84,25,26,0,4893,85
Go,internal/access_request.go,access_request.go,250,159,45,46,0,9575,150
Go,access_error.go,access_error.go,50,23,20,7,3,1389,38
