Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,app/controllers/camaleon_cms/admin/users_controller.rb,users_controller.rb,139,119,2,18,16,4398,93
Ruby,app/models/concerns/camaleon_cms/user_methods.rb,user_methods.rb,135,99,14,22,9,3861,94
Ruby,app/helpers/camaleon_cms/session_helper.rb,session_helper.rb,171,111,37,23,24,6286,127
Ruby,app/controllers/camaleon_cms/admin/media_controller.rb,media_controller.rb,126,102,8,16,22,4875,96
YAML,config/locales/camaleon_cms/admin/en.yml,en.yml,745,741,1,3,0,31566,711
Ruby,app/helpers/camaleon_cms/comment_helper.rb,comment_helper.rb,48,41,6,1,0,3496,45
Ruby,app/uploaders/camaleon_cms_local_uploader.rb,camaleon_cms_local_uploader.rb,108,87,5,16,23,3990,78
Ruby HTML,app/views/camaleon_cms/default_theme/partials/_comments_list2.html.erb,_comments_list2.html.erb,24,24,0,0,0,1348,23
Ruby HTML,app/apps/themes/default/views/partials/_comments_list.html.erb,_comments_list.html.erb,20,20,0,0,1,1211,21
Ruby HTML,app/views/camaleon_cms/default_theme/partials/_comments_list.html.erb,_comments_list.html.erb,21,20,0,1,1,1147,21
