Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,src/werkzeug/sansio/utils.py,utils.py,166,128,12,26,30,5112,117
Python,tests/test_security.py,test_security.py,49,35,0,14,2,1471,36
Python,tests/test_http.py,test_http.py,719,691,5,23,0,26342,503
Python,tests/test_formparser.py,test_formparser.py,450,423,6,21,5,16765,257
Python,src/werkzeug/serving.py,serving.py,1100,1063,18,19,21,39115,815
Python,src/werkzeug/security.py,security.py,140,133,1,6,7,4653,102
ReStructuredText,docs/request_data.rst,request_data.rst,108,82,0,26,0,4745,81
Python,src/werkzeug/wrappers/request.py,request.py,662,639,16,7,5,25111,471
TOML,pyproject.toml,pyproject.toml,91,78,3,10,0,2580,80
Python,src/werkzeug/sansio/multipart.py,multipart.py,287,210,36,41,43,10055,209
Python,src/werkzeug/sansio/http.py,http.py,136,94,27,15,19,5107,111
Python,src/werkzeug/formparser.py,formparser.py,427,330,75,22,8,15383,299
JavaScript,src/werkzeug/debug/shared/debugger.js,debugger.js,359,304,17,38,33,10521,269
ReStructuredText,docs/debug.rst,debug.rst,101,73,0,28,0,3918,74
Python,src/werkzeug/_internal.py,_internal.py,553,549,0,4,8,16271,383
Python,src/werkzeug/debug/__init__.py,__init__.py,533,521,1,11,2,18877,422
ReStructuredText,CHANGES.rst,CHANGES.rst,2365,2080,0,285,0,109049,1994
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,44,44,0,0,0,1336,38
