Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,src/GraphQL/loaders/usersQueries.js,usersQueries.js,98,86,3,9,16,2562,76
JavaScript,src/GraphQL/loaders/usersMutations.js,usersMutations.js,303,272,0,31,3,9616,159
JavaScript,src/triggers.js,triggers.js,985,891,32,62,202,28600,595
JavaScript,spec/rest.spec.js,rest.spec.js,997,924,5,68,4,30814,411
JavaScript,src/rest.js,rest.js,282,241,21,20,41,8646,193
JSON,package.json,package.json,142,142,0,0,0,4618,133
JavaScript,src/middlewares.js,middlewares.js,456,370,42,44,98,13935,314
JavaScript,src/Adapters/Auth/ldap.js,ldap.js,110,102,0,8,9,3212,83
JavaScript,src/Options/index.js,index.js,333,144,180,9,0,14918,287
JavaScript,src/Controllers/index.js,index.js,253,228,6,19,14,8326,182
JavaScript,src/Adapters/Auth/gcenter.js,gcenter.js,121,90,15,16,7,3631,93
JavaScript,src/Options/docs.js,docs.js,147,0,140,7,0,12875,123
YAML,.github/workflows/ci.yml,ci.yml,110,110,0,0,0,3307,81
JavaScript,resources/buildConfigDefinitions.js,buildConfigDefinitions.js,281,253,13,15,72,9098,214
JavaScript,src/Controllers/UserController.js,UserController.js,331,282,15,34,55,9827,232
JavaScript,src/RestWrite.js,RestWrite.js,1623,1285,215,123,324,53476,1036
JavaScript,spec/RestQuery.spec.js,RestQuery.spec.js,429,393,7,29,8,12543,260
JavaScript,src/RestQuery.js,RestQuery.js,991,816,102,73,156,28889,623
JavaScript,spec/RegexVulnerabilities.spec.js,RegexVulnerabilities.spec.js,190,178,1,11,0,6040,113
JavaScript,spec/RedisCacheAdapter.spec.js,RedisCacheAdapter.spec.js,528,422,14,92,5,14735,232
JavaScript,src/Controllers/PushController.js,PushController.js,238,189,32,17,39,8066,164
JavaScript,src/Routers/PublicAPIRouter.js,PublicAPIRouter.js,324,277,1,46,32,7620,156
JavaScript,src/Adapters/Storage/Postgres/PostgresStorageAdapter.js,PostgresStorageAdapter.js,2550,2294,108,148,475,85796,1618
JavaScript,spec/ParseUser.spec.js,ParseUser.spec.js,4026,3679,80,267,40,124852,1523
JavaScript,src/ParseServer.js,ParseServer.js,459,344,71,44,61,15820,341
JavaScript,spec/ParseRole.spec.js,ParseRole.spec.js,603,540,28,35,18,19553,344
JavaScript,spec/ParseQuery.spec.js,ParseQuery.spec.js,4774,4376,38,360,90,146852,1742
JavaScript,src/LiveQuery/ParseLiveQueryServer.js,ParseLiveQueryServer.js,818,694,66,58,120,29925,553
JavaScript,spec/ParseLiveQuery.spec.js,ParseLiveQuery.spec.js,962,851,8,103,5,26907,240
JavaScript,spec/ParseHooks.spec.js,ParseHooks.spec.js,693,17,673,3,0,19895,296
JavaScript,spec/ParseGraphQLServer.spec.js,ParseGraphQLServer.spec.js,10439,9680,12,747,41,358405,3220
JavaScript,spec/ParseFile.spec.js,ParseFile.spec.js,1046,983,7,56,13,33821,374
JavaScript,src/LiveQuery/ParseCloudCodePublisher.js,ParseCloudCodePublisher.js,40,30,4,6,1,1273,32
JavaScript,src/Adapters/Storage/Mongo/MongoStorageAdapter.js,MongoStorageAdapter.js,1061,877,106,78,124,38171,662
JavaScript,spec/Middlewares.spec.js,Middlewares.spec.js,395,356,1,38,19,13666,131
JavaScript,spec/LdapAuth.spec.js,LdapAuth.spec.js,259,239,0,20,5,8153,82
JavaScript,src/Routers/FilesRouter.js,FilesRouter.js,262,235,13,14,22,8303,195
JavaScript,src/Options/Definitions.js,Definitions.js,628,622,5,1,52,22025,398
JavaScript,src/Controllers/DatabaseController.js,DatabaseController.js,1802,1479,185,138,269,58865,1158
JavaScript,src/Config.js,Config.js,409,363,4,42,91,13187,262
JavaScript,spec/CloudCode.spec.js,CloudCode.spec.js,3196,2890,27,279,61,96262,1319
JavaScript,src/Routers/ClassesRouter.js,ClassesRouter.js,239,218,3,18,43,6411,152
Markdown,CHANGELOG.md,CHANGELOG.md,1743,1444,0,299,0,148423,1327
JavaScript,spec/AuthenticationAdapters.spec.js,AuthenticationAdapters.spec.js,1750,1602,28,120,38,54042,570
JavaScript,src/Auth.js,Auth.js,343,291,24,28,32,9257,254
JSON,.eslintrc.json,.eslintrc.json,28,28,0,0,0,687,28
