Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TOML,docs/data/versions.toml,versions.toml,43,33,2,8,0,933,28
HTML,docs/layouts/partials/home/info.html,info.html,30,30,0,0,0,1239,26
TOML,docs/data/homepagedata.toml,homepagedata.toml,35,25,2,8,0,925,17
JSON,contributors.json,contributors.json,207,207,0,0,0,10672,208
Java,pgjdbc/src/main/java/org/postgresql/util/StreamWrapper.java,StreamWrapper.java,196,150,22,24,16,5900,143
Java,pgjdbc/src/main/java/org/postgresql/core/SocketFactoryFactory.java,SocketFactoryFactory.java,73,43,22,8,6,2488,52
Java,pgjdbc/src/test/java/org/postgresql/test/jdbc2/ResultSetRefreshTest.java,ResultSetRefreshTest.java,54,41,4,9,0,1950,34
Java,pgjdbc/src/test/java/org/postgresql/jdbc/PgSQLXMLTest.java,PgSQLXMLTest.java,140,117,5,18,1,4676,104
Java,pgjdbc/src/main/java/org/postgresql/jdbc/PgSQLXML.java,PgSQLXML.java,314,256,23,35,38,10685,210
Java,pgjdbc/src/main/java/org/postgresql/jdbc/PgResultSet.java,PgResultSet.java,4106,3121,404,581,778,135817,1977
Java,pgjdbc/src/main/java/org/postgresql/jdbc/PgConnection.java,PgConnection.java,1892,1421,183,288,203,59852,1035
Java,pgjdbc/src/main/java/org/postgresql/xml/PGXmlFactoryFactory.java,PGXmlFactoryFactory.java,30,17,4,9,0,861,22
Java,pgjdbc/src/main/java/org/postgresql/PGProperty.java,PGProperty.java,1037,498,429,110,10,37214,604
Java,pgjdbc/src/test/java/org/postgresql/test/util/ObjectFactoryTest.java,ObjectFactoryTest.java,106,82,7,17,0,3449,77
Java,pgjdbc/src/main/java/org/postgresql/util/ObjectFactory.java,ObjectFactory.java,68,33,30,5,5,2680,61
Java,pgjdbc/src/main/java/org/postgresql/xml/NullErrorHandler.java,NullErrorHandler.java,25,12,7,6,0,579,17
Java,pgjdbc/src/main/java/org/postgresql/ssl/MakeSSL.java,MakeSSL.java,86,67,5,14,6,2984,68
Java,pgjdbc/src/main/java/org/postgresql/ssl/LibPQFactory.java,LibPQFactory.java,261,193,41,27,32,9577,195
Java,pgjdbc/src/main/java/org/postgresql/xml/LegacyInsecurePGXmlFactoryFactory.java,LegacyInsecurePGXmlFactoryFactory.java,57,42,4,11,0,1716,36
Java,pgjdbc/src/test/java/org/postgresql/test/jdbc2/Jdbc2TestSuite.java,Jdbc2TestSuite.java,144,133,7,4,0,4874,139
Java,pgjdbc/src/main/java/org/postgresql/xml/EmptyStringEntityResolver.java,EmptyStringEntityResolver.java,24,15,4,5,0,729,20
Java,pgjdbc/src/main/java/org/postgresql/xml/DefaultPGXmlFactoryFactory.java,DefaultPGXmlFactoryFactory.java,140,114,10,16,14,5705,83
Markdown,CHANGELOG.md,CHANGELOG.md,760,624,0,136,0,59333,513
Java,pgjdbc/src/main/java/org/postgresql/ds/common/BaseDataSource.java,BaseDataSource.java,1838,878,729,231,71,53390,887
Java,pgjdbc/src/main/java/org/postgresql/core/BaseConnection.java,BaseConnection.java,239,50,157,32,0,8198,135
Java,pgjdbc/src/main/java/org/postgresql/core/v3/AuthenticationPluginManager.java,AuthenticationPluginManager.java,126,74,38,14,10,5216,95
Markdown,docs/content/changelogs/2022-11-23-42.5.1-release.md,2022-11-23-42.5.1-release.md,64,47,0,17,0,3392,48
