Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,setup/validate.php,validate.php,43,26,7,10,5,1050,32
PHP,url.php,url.php,42,24,7,11,3,965,30
JavaScript,js/src/table/structure.js,structure.js,471,340,90,41,49,19577,338
JavaScript,js/src/sql.js,sql.js,1094,739,256,99,122,40223,710
JavaScript,js/src/codemirror/addon/lint/sql-lint.js,sql-lint.js,41,35,3,3,2,1203,36
PHP,show_config_errors.php,show_config_errors.php,44,18,17,9,3,1153,32
JavaScript,js/src/setup/scripts.js,scripts.js,241,144,74,23,22,6452,139
JavaScript,js/src/replication.js,replication.js,106,89,11,6,4,3803,82
PHP,examples/openid.php,openid.php,171,104,40,27,16,4541,115
JavaScript,js/src/normalization.js,normalization.js,792,752,15,25,79,29527,420
JavaScript,js/src/server/status/monitor.js,monitor.js,2329,1975,148,206,174,90440,1418
PHP,setup/index.php,index.php,86,58,9,19,11,2204,57
PHP,index.php,index.php,43,25,7,11,3,1074,31
JavaScript,js/src/functions.js,functions.js,4720,3290,1099,331,582,168581,2982
JavaScript,js/src/cross_framing_protection.js,cross_framing_protection.js,13,8,5,0,4,423,14
JavaScript,js/src/console.js,console.js,1544,1190,302,52,211,58359,939
ReStructuredText,doc/config.rst,config.rst,4108,2735,0,1373,0,131628,1975
PHP,setup/config.php,config.php,54,32,11,11,6,1561,40
PHP,libraries/config.default.php,config.default.php,3124,534,2135,455,4,72659,1437
PHP,setup/lib/common.inc.php,common.inc.php,66,45,6,15,3,1538,50
JavaScript,js/src/table/chart.js,chart.js,424,357,24,43,50,14326,298
JavaScript,js/src/ajax.js,ajax.js,929,592,301,36,139,34855,610
PHP,libraries/classes/Config/Validator.php,Validator.php,613,379,162,72,51,18443,345
PHP,libraries/classes/Util.php,Util.php,2685,1637,736,312,268,87783,1657
PHP,test/classes/TransformationsTest.php,TransformationsTest.php,371,295,54,22,0,11598,223
PHP,test/classes/Plugins/Transformations/TransformationPluginsTest.php,TransformationPluginsTest.php,1299,1218,61,20,4,42239,415
