Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
YAML,bundles/CoreBundle/config/templating_twig.yaml,templating_twig.yaml,85,49,3,33,0,2559,49
JavaScript,bundles/StaticRoutesBundle/public/js/settings.js,settings.js,274,234,15,25,10,9575,210
JavaScript,bundles/SeoBundle/public/js/redirects.js,redirects.js,755,661,16,78,49,28665,511
JavaScript,bundles/CustomReportsBundle/public/js/pimcore/report/custom/panel.js,panel.js,258,205,15,38,23,8144,175
JavaScript,bundles/SimpleBackendSearchBundle/public/js/pimcore/element/selector/object.js,object.js,677,558,30,89,56,24546,448
YAML,bundles/CoreBundle/config/event_listeners.yaml,event_listeners.yaml,132,65,28,39,0,4013,62
JavaScript,bundles/SimpleBackendSearchBundle/public/js/pimcore/element/selector/document.js,document.js,275,225,19,31,17,9991,201
YAML,bundles/CoreBundle/config/pimcore/default.yaml,default.yaml,306,282,10,14,0,14455,276
JSON,composer.json,composer.json,223,223,0,0,0,7451,205
JavaScript,bundles/SimpleBackendSearchBundle/public/js/pimcore/element/selector/asset.js,asset.js,364,297,19,48,31,13836,259
JavaScript,bundles/ApplicationLoggerBundle/public/js/log/admin.js,admin.js,439,379,18,42,19,16722,302
PHP,models/WebsiteSetting.php,WebsiteSetting.php,284,153,77,54,10,7038,135
PHP,models/DataObject/ClassDefinition/Data/UrlSlug.php,UrlSlug.php,658,446,116,96,72,22762,330
PHP,models/DataObject/QuantityValue/Unit.php,Unit.php,296,195,42,59,11,7046,133
PHP,lib/Templating/TwigDefaultDelegatingEngine.php,TwigDefaultDelegatingEngine.php,130,71,43,16,8,3363,73
PHP,models/Asset/Image/Thumbnail.php,Thumbnail.php,447,353,43,51,50,15878,259
PHP,models/DataObject/ClassDefinition/Layout/Text.php,Text.php,148,82,42,24,2,3680,83
PHP,bundles/StaticRoutesBundle/src/Model/Staticroute.php,Staticroute.php,591,330,157,104,36,14853,287
PHP,bundles/CustomReportsBundle/src/Tool/Adapter/Sql.php,Sql.php,259,224,21,14,8,8685,159
PHP,models/DataObject/ClassDefinition/Service.php,Service.php,569,391,101,77,68,19606,294
PHP,models/Element/Service.php,Service.php,1500,985,323,192,166,50261,779
PHP,lib/Twig/Sandbox/SecurityPolicy.php,SecurityPolicy.php,106,55,35,16,4,3075,64
PHP,lib/Security/SecurityHelper.php,SecurityHelper.php,42,21,15,6,2,1064,31
PHP,bundles/SimpleBackendSearchBundle/src/Controller/SearchController.php,SearchController.php,647,442,102,103,67,26499,399
Markdown,doc/23_Installation_and_Upgrade/09_Upgrade_Notes/README.md,README.md,537,379,0,158,0,32967,358
Markdown,doc/04_Assets/03_Working_with_Thumbnails/README.md,README.md,14,9,0,5,0,569,10
Markdown,doc/19_Development_Tools_and_Details/25_Email_Framework/README.md,README.md,114,93,0,21,0,4275,80
Markdown,doc/04_Assets/README.md,README.md,24,18,0,6,0,1824,20
PHP,models/Property/Predefined.php,Predefined.php,268,159,54,55,2,5226,116
PHP,bundles/CoreBundle/src/DependencyInjection/PimcoreCoreExtension.php,PimcoreCoreExtension.php,283,186,53,44,10,12182,190
PHP,lib/Pimcore.php,Pimcore.php,250,127,93,30,11,5986,113
PHP,models/Notification/Service/NotificationService.php,NotificationService.php,322,257,45,20,5,8668,171
PHP,models/DataObject/ClassDefinition/Data/Multiselect.php,Multiselect.php,600,343,165,92,40,16341,254
PHP,lib/Mail.php,Mail.php,945,656,210,79,37,25740,411
PHP,bundles/ApplicationLoggerBundle/src/Controller/LogController.php,LogController.php,233,158,37,38,17,8078,151
PHP,bundles/SimpleBackendSearchBundle/src/Model/Search/Backend/Data/Listing.php,Listing.php,57,20,31,6,0,1280,40
PHP,models/Translation/Listing.php,Listing.php,107,46,46,15,1,2461,61
PHP,models/Document/Editable/Link.php,Link.php,462,342,57,63,71,14479,261
PHP,models/Asset/Thumbnail/ImageThumbnailTrait.php,ImageThumbnailTrait.php,440,277,97,66,42,12255,230
PHP,models/Asset/Document/ImageThumbnail.php,ImageThumbnail.php,187,145,27,15,8,6026,129
PHP,models/Asset/Video/ImageThumbnail.php,ImageThumbnail.php,244,178,40,26,16,8288,161
PHP,lib/Twig/Extension/Templating/HeadScript.php,HeadScript.php,619,308,225,86,64,18531,338
PHP,bundles/CoreBundle/src/EventListener/Frontend/ElementListener.php,ElementListener.php,225,158,37,30,24,8708,151
PHP,models/Asset/Document.php,Document.php,139,95,33,11,6,4479,86
PHP,bundles/UuidBundle/src/Model/Tool/UUID/Dao.php,Dao.php,110,78,20,12,2,2727,68
PHP,bundles/CustomReportsBundle/src/Controller/Reports/CustomReportController.php,CustomReportController.php,545,336,118,91,31,17515,232
PHP,bundles/CoreBundle/src/DependencyInjection/Configuration.php,Configuration.php,1903,1766,70,67,14,104758,920
PHP,lib/Messenger/Handler/AssetUpdateTasksHandler.php,AssetUpdateTasksHandler.php,142,98,21,23,13,5214,92
PHP,models/Asset.php,Asset.php,1714,1140,296,278,209,54640,881
PHP,lib/Model/Listing/AbstractListing.php,AbstractListing.php,472,315,63,94,35,11301,219
Markdown,doc/26_Best_Practice/75_Security_Concept.md,75_Security_Concept.md,107,80,0,27,0,5796,74
Markdown,doc/03_Documents/01_Editables/18_Link.md,18_Link.md,85,57,0,28,0,5755,56
Markdown,doc/04_Assets/03_Working_with_Thumbnails/01_Image_Thumbnails.md,01_Image_Thumbnails.md,498,372,0,126,0,27588,314
Markdown,doc/05_Objects/01_Object_Classes/03_Layout_Elements/01_Dynamic_Text_Labels.md,01_Dynamic_Text_Labels.md,80,56,0,24,0,3140,56
