Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,src/include/utils/varbit.h,varbit.h,69,27,36,6,0,2570,54
C,src/backend/utils/adt/varbit.c,varbit.c,1883,1318,331,234,216,42599,772
C,src/backend/utils/adt/txid.c,txid.c,797,446,233,118,90,18011,453
C,src/backend/utils/adt/tsquery_util.c,tsquery_util.c,447,284,79,84,80,9560,222
C,src/backend/utils/adt/tsquery.c,tsquery.c,1384,1262,79,43,71,30204,758
C Header,src/include/tsearch/ts_type.h,ts_type.h,242,107,91,44,0,6977,155
C,src/interfaces/ecpg/pgtypeslib/timestamp.c,timestamp.c,931,660,173,98,108,20629,490
C,src/backend/libpq/pqcomm.c,pqcomm.c,2001,1193,587,221,245,53269,1001
C,src/backend/postmaster/postmaster.c,postmaster.c,6544,3616,2123,805,847,186126,3540
C,src/interfaces/ecpg/test/expected/pgtypeslib-dt_test2.c,pgtypeslib-dt_test2.c,186,140,11,35,9,4067,144
C,contrib/ltree/ltxtquery_io.c,ltxtquery_io.c,536,430,51,55,96,10830,326
C,contrib/ltree/ltree_io.c,ltree_io.c,620,566,7,47,191,13463,314
C Header,contrib/ltree/ltree.h,ltree.h,256,177,29,50,12,7902,177
C Header,src/include/libpq/libpq.h,libpq.h,133,88,29,16,0,3997,103
SQL,src/test/regress/sql/interval.sql,interval.sql,310,218,39,53,0,12214,243
C,src/interfaces/ecpg/pgtypeslib/interval.c,interval.c,1092,840,134,118,264,25899,637
C,contrib/hstore/hstore_op.c,hstore_op.c,1279,974,94,211,139,28243,589
C,contrib/hstore/hstore_io.c,hstore_io.c,1487,1236,89,162,162,33357,696
C Header,contrib/hstore/hstore.h,hstore.h,205,114,61,30,9,7086,147
C,src/backend/utils/adt/geo_ops.c,geo_ops.c,5551,3487,1063,1001,405,125271,2087
C,src/interfaces/libpq/fe-connect.c,fe-connect.c,7058,4481,1813,764,1311,179326,3558
C,src/interfaces/ecpg/test/pgtypeslib/dt_test2.pgc,dt_test2.pgc,151,130,6,15,9,3586,125
C,src/interfaces/ecpg/pgtypeslib/dt_common.c,dt_common.c,3003,2258,474,271,540,74344,1692
C Header,src/interfaces/ecpg/pgtypeslib/dt.h,dt.h,341,212,82,47,35,10178,270
C Header,src/include/utils/datetime.h,datetime.h,341,189,105,47,9,10585,260
C,src/interfaces/ecpg/pgtypeslib/datetime.c,datetime.c,714,522,117,75,111,15326,410
C,contrib/intarray/_int_bool.c,_int_bool.c,669,533,61,75,114,13504,372
C Header,contrib/intarray/_int.h,_int.h,170,111,27,32,8,5048,121
