Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,src/pretix/helpers/thumb.py,thumb.py,232,203,23,6,0,9287,169
Python,src/pretix/base/settings.py,settings.py,3847,3801,38,8,90,160050,1453
Python,src/pretix/settings.py,settings.py,823,766,36,21,14,32739,586
Python,src/pretix/helpers/reportlab.py,reportlab.py,55,25,24,6,2,2355,44
Python,src/pretix/base/forms/questions.py,questions.py,1220,1168,42,10,5,54348,875
Python,src/pretix/base/pdf.py,pdf.py,1274,1218,43,13,22,52474,891
Python,src/pretix/control/forms/organizer.py,organizer.py,1194,1000,35,159,100,44469,684
Python,src/pretix/base/models/orders.py,orders.py,3532,3393,81,58,143,147932,2127
Python,src/pretix/api/views/order.py,order.py,2024,1934,34,56,97,89596,1142
Python,src/pretix/helpers/monkeypatching.py,monkeypatching.py,102,43,41,18,8,4203,74
Python,src/pretix/helpers/images.py,images.py,87,49,26,12,15,3547,63
Python,src/pretix/plugins/sendmail/forms.py,forms.py,434,356,34,44,43,19606,266
Python,src/pretix/control/forms/__init__.py,__init__.py,457,413,36,8,0,17357,289
