Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,backend/src/routes/user.js,user.js,187,140,20,27,26,6778,104
JavaScript,backend/src/models/user.js,user.js,166,139,12,15,15,5351,87
JavaScript,frontend/src/services/user.js,user.js,89,77,0,12,3,2476,51
JavaScript,backend/src/routes/settings.js,settings.js,44,39,1,4,2,1358,34
Markdown,docs/roles.md,roles.md,79,63,0,16,0,4359,60
JSON,backend/src/lib/report.json,report.json,9,9,0,0,0,201,9
JavaScript,backend/src/lib/report-generator.js,report-generator.js,460,421,16,23,28,17988,347
JavaScript,frontend/src/pages/profile/profile.js,profile.js,73,65,0,8,10,2359,56
YAML,docker-compose.yml,docker-compose.yml,44,41,0,3,0,820,33
JSON,backend/src/config.json,config.json,29,29,0,0,0,584,19
JavaScript,frontend/src/boot/axios.js,axios.js,9,7,0,2,0,182,8
JavaScript,backend/src/lib/auth.js,auth.js,162,113,28,21,21,4562,124
JavaScript,frontend/src/boot/auth.js,auth.js,22,21,0,1,6,659,21
JavaScript,backend/src/app.js,app.js,123,98,11,14,4,4121,104
