Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,tests/hazmat/primitives/test_pkcs7.py,test_pkcs7.py,820,765,20,35,27,28916,331
Python,tests/hazmat/primitives/test_pkcs12.py,test_pkcs12.py,954,857,20,77,32,34401,476
Python,tests/hazmat/primitives/test_hkdf.py,test_hkdf.py,209,152,3,54,12,6641,81
Plain Text,docs/spelling_wordlist.txt,spelling_wordlist.txt,143,143,0,0,0,1332,143
TOML,pyproject.toml,pyproject.toml,155,132,7,16,1,4339,127
TOML,vectors/pyproject.toml,pyproject.toml,22,18,0,4,1,561,19
Rust,src/rust/src/lib.rs,lib.rs,190,143,16,31,12,5880,121
Python,src/cryptography/hazmat/primitives/kdf/hkdf.py,hkdf.py,101,81,3,17,5,3045,63
Python,src/cryptography/hazmat/backends/openssl/backend.py,backend.py,1584,1385,97,102,126,60437,1002
Python,src/cryptography/__about__.py,__about__.py,17,9,3,5,0,450,13
Python,vectors/cryptography_vectors/__about__.py,__about__.py,9,4,3,2,0,243,8
ReStructuredText,CHANGELOG.rst,CHANGELOG.rst,2262,1823,0,439,0,91937,1539
