Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,Tests/test_imagefont.py,test_imagefont.py,1191,1037,20,134,39,37724,664
Python,Tests/test_imagecolor.py,test_imagecolor.py,208,144,23,41,30,8126,138
Python,Tests/test_image.py,test_image.py,1171,946,82,143,70,38164,756
Python,Tests/test_file_tiff.py,test_file_tiff.py,940,715,58,167,117,32269,597
Python,Tests/test_file_pcd.py,test_file_pcd.py,17,5,7,5,1,587,13
Python,Tests/test_file_libtiff.py,test_file_libtiff.py,1210,936,98,176,142,46460,772
Python,Tests/test_file_fli.py,test_file_fli.py,192,130,9,53,26,4915,107
Python,Tests/check_libtiff_segfault.py,check_libtiff_segfault.py,17,8,3,6,2,357,12
Python,Tests/check_icns_dos.py,check_icns_dos.py,10,5,2,3,1,269,8
Python,Tests/check_fli_overflow.py,check_fli_overflow.py,11,6,1,4,1,262,8
Python,src/PIL/TiffImagePlugin.py,TiffImagePlugin.py,2287,2085,133,69,73,83037,1760
C,src/libImaging/TiffDecode.c,TiffDecode.c,1088,825,112,151,128,32938,600
C,src/libImaging/SgiRleDecode.c,SgiRleDecode.c,291,197,71,23,54,8188,178
C,src/libImaging/Resample.c,Resample.c,802,708,33,61,136,29339,364
C,src/libImaging/PcxDecode.c,PcxDecode.c,91,60,18,13,14,2268,69
C,src/libImaging/PcdDecode.c,PcdDecode.c,74,39,23,12,6,1790,48
ReStructuredText,docs/reference/ImageFont.rst,ImageFont.rst,101,70,0,31,0,2828,65
Python,src/PIL/ImageFont.py,ImageFont.py,1338,1280,39,19,12,64261,893
Python,src/PIL/ImageColor.py,ImageColor.py,320,251,47,22,17,9441,261
Python,src/PIL/IcnsImagePlugin.py,IcnsImagePlugin.py,412,377,25,10,12,12953,315
C,src/libImaging/FliDecode.c,FliDecode.c,269,209,45,15,48,9845,184
ReStructuredText,docs/releasenotes/9.3.0.rst,9.3.0.rst,108,73,0,35,0,3654,72
ReStructuredText,docs/releasenotes/9.2.0.rst,9.2.0.rst,148,102,0,46,0,5749,81
ReStructuredText,docs/releasenotes/10.0.0.rst,10.0.0.rst,211,154,0,57,0,9339,146
