Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,ui/vnc.c,vnc.c,3364,2747,208,409,507,98748,1869
C,hw/virtio/virtio.c,virtio.c,1218,950,65,203,130,33009,636
C,hw/char/virtio-serial-bus.c,virtio-serial-bus.c,1046,745,120,181,94,29613,587
C,hw/net/virtio-net.c,virtio-net.c,1691,1320,90,281,302,49802,921
C,target-i386/translate.c,translate.c,8088,7300,371,417,1294,278138,4072
C,hw/net/stellaris_enet.c,stellaris_enet.c,463,396,19,48,38,13394,329
C,qemu-bridge-helper.c,qemu-bridge-helper.c,446,337,44,65,92,11358,272
C,hw/core/loader.c,loader.c,976,757,91,128,136,25611,592
C,exec.c,exec.c,2781,2209,204,368,353,78182,1489
C,hw/scsi/esp.c,esp.c,738,620,48,70,83,19945,471
C,hw/net/e1000.c,e1000.c,1598,1296,110,192,185,51320,1072
