Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,libqpdf/QPDF_encryption.cc,QPDF_encryption.cc,1413,1188,88,137,193,45109,825
C++,libqpdf/QPDFWriter.cc,QPDFWriter.cc,3043,2446,309,288,529,102001,1866
C++ Header,include/qpdf/QPDFObjectHandle.hh,QPDFObjectHandle.hh,1632,828,635,169,4,69768,1037
C++,libqpdf/QPDFObjectHandle.cc,QPDFObjectHandle.cc,2578,2237,63,278,329,66983,1197
C++ Header,include/qpdf/QPDF.hh,QPDF.hh,1532,986,378,168,2,63282,1059
C++,libqpdf/QPDF.cc,QPDF.cc,2602,2093,274,235,417,88053,1551
C++,libqpdf/Pl_Count.cc,Pl_Count.cc,48,39,1,8,1,789,28
C++,libqpdf/Pl_ASCIIHexDecoder.cc,Pl_ASCIIHexDecoder.cc,96,85,2,9,17,2288,68
C++,libqpdf/Pl_ASCII85Decoder.cc,Pl_ASCII85Decoder.cc,108,96,2,10,25,2701,79
C++,libqpdf/Pl_AES_PDF.cc,Pl_AES_PDF.cc,200,173,11,16,39,5960,134
