Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,qutebrowser/browser/webkit/webkittab.py,webkittab.py,993,948,24,21,3,37070,669
Python,qutebrowser/browser/webkit/network/webkitqutescheme.py,webkitqutescheme.py,81,48,26,7,1,3137,66
Python,qutebrowser/browser/webengine/webenginetab.py,webenginetab.py,1654,1505,93,56,45,61693,1161
Python,qutebrowser/browser/webengine/webenginequtescheme.py,webenginequtescheme.py,144,72,50,22,12,5443,108
Python,tests/unit/test_qutebrowser.py,test_qutebrowser.py,62,25,21,16,2,1911,39
Python,tests/end2end/test_invocations.py,test_invocations.py,492,439,27,26,17,17443,309
Python,tests/unit/browser/webkit/network/test_filescheme.py,test_filescheme.py,284,206,26,52,11,9180,182
HTML,qutebrowser/html/settings.html,settings.html,56,51,1,4,0,1849,48
HTML,tests/end2end/data/misc/qutescheme_csrf.html,qutescheme_csrf.html,20,20,0,0,0,943,21
Python,qutebrowser/browser/qutescheme.py,qutescheme.py,580,497,42,41,6,18598,399
Gherkin Specification,tests/end2end/features/qutescheme.feature,qutescheme.feature,303,232,21,50,5,12584,184
Python,qutebrowser/qutebrowser.py,qutebrowser.py,201,178,19,4,6,9110,173
Python,qutebrowser/browser/webkit/network/networkmanager.py,networkmanager.py,439,406,19,14,3,17527,344
HTML,tests/end2end/data/issue4011.html,issue4011.html,10,10,0,0,0,215,11
Python,qutebrowser/browser/webengine/interceptor.py,interceptor.py,219,138,56,25,20,9977,184
Gherkin Specification,tests/end2end/features/history.feature,history.feature,112,93,1,18,3,4430,75
Python,qutebrowser/browser/webkit/network/filescheme.py,filescheme.py,133,40,75,18,8,4248,89
Python,qutebrowser/browser/browsertab.py,browsertab.py,1215,1092,63,60,14,42474,748
