Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TCL,tests/unit/type/zset.tcl,zset.tcl,2393,2102,90,201,104,90125,1361
C,src/zmalloc.c,zmalloc.c,731,515,135,81,96,22107,435
C Header,src/ziplist.h,ziplist.h,74,36,32,6,0,4008,67
C,src/ziplist.c,ziplist.c,2666,1789,586,291,526,99708,1654
TCL,tests/unit/violations.tcl,violations.tcl,102,80,15,7,3,3513,62
TCL,tests/support/util.tcl,util.tcl,988,821,82,85,140,29634,626
C,src/util.c,util.c,972,669,195,108,292,30931,643
C,deps/hiredis/test.c,test.c,1425,1077,150,198,387,48667,807
C,src/t_zset.c,t_zset.c,4342,3044,748,550,1192,147481,2361
C,src/t_string.c,t_string.c,944,661,171,112,348,34098,593
C,src/t_stream.c,t_stream.c,3714,2350,1007,357,833,147108,2550
C,src/t_set.c,t_set.c,1237,828,270,139,318,43362,744
C,src/t_list.c,t_list.c,1209,805,251,153,311,42295,742
C,src/t_hash.c,t_hash.c,1158,829,181,148,340,39246,704
TCL,tests/unit/type/string.tcl,string.tcl,599,489,18,92,15,18359,350
TCL,tests/unit/sort.tcl,sort.tcl,330,291,2,37,18,10892,202
C,src/sort.c,sort.c,600,407,141,52,168,22649,445
TCL,tests/unit/type/set.tcl,set.tcl,971,798,54,119,32,34481,561
C Header,src/server.h,server.h,3281,2400,647,234,6,153133,2924
C,src/server.c,server.c,6285,4426,1185,674,1152,245194,4479
C,src/sds.c,sds.c,1564,1058,360,146,289,50891,1030
TCL,tests/unit/scripting.tcl,scripting.tcl,1202,1132,15,55,33,43336,701
C,src/rdb.c,rdb.c,3456,2553,572,331,1045,133666,2212
C,src/quicklist.c,quicklist.c,3223,2463,403,357,630,123725,1901
C,src/networking.c,networking.c,4075,2675,974,426,904,157816,2754
C,deps/lua/src/lua_bit.c,lua_bit.c,189,139,34,16,22,5453,142
C,src/listpack.c,listpack.c,2417,1722,433,262,450,87943,1565
TCL,tests/unit/keyspace.tcl,keyspace.tcl,492,440,0,52,35,15148,325
C,src/intset.c,intset.c,547,407,74,66,107,17760,340
C,deps/hiredis/hiredis.c,hiredis.c,1174,838,155,181,290,35586,650
TCL,tests/unit/type/hash.tcl,hash.tcl,800,659,48,93,43,28793,498
C,src/geo.c,geo.c,997,659,230,108,248,37637,694
C,src/eval.c,eval.c,1636,1155,324,157,317,60180,1163
C,src/debug.c,debug.c,2093,1741,198,154,443,80668,1476
C,src/db.c,db.c,1927,1148,551,228,384,69311,1283
C,src/config.c,config.c,2796,2070,371,355,548,118928,1790
TCL,tests/unit/auth.tcl,auth.tcl,84,68,3,13,2,2685,60
C,src/anet.c,anet.c,682,501,98,83,196,22321,391
C,src/acl.c,acl.c,2369,1577,592,200,523,92860,1696
