Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,app/helpers/queries_helper.rb,queries_helper.rb,513,438,29,46,57,17138,351
Ruby,test/unit/lib/redmine/scm/adapters/mercurial_adapter_test.rb,mercurial_adapter_test.rb,529,458,21,50,7,20157,387
Ruby,lib/redmine/scm/adapters/mercurial_adapter.rb,mercurial_adapter.rb,372,286,43,43,16,13410,253
Ruby,test/unit/mailer_test.rb,mailer_test.rb,1148,960,63,125,1,42282,569
Ruby,app/models/mailer.rb,mailer.rb,810,603,152,55,17,28460,525
Ruby,test/functional/journals_controller_test.rb,journals_controller_test.rb,351,294,18,39,1,11065,173
Ruby,test/integration/api_test/issues_test.rb,issues_test.rb,1082,928,22,132,7,37876,508
Ruby,app/helpers/application_helper.rb,application_helper.rb,1841,1499,198,144,252,64496,1295
Ruby,app/controllers/application_controller.rb,application_controller.rb,762,583,84,95,123,22080,489
Ruby,test/functional/account_controller_test.rb,account_controller_test.rb,662,576,19,67,0,18848,267
Ruby HTML,app/views/issues/_list.html.erb,_list.html.erb,57,56,0,1,4,2437,52
Ruby HTML,app/views/timelog/_list.html.erb,_list.html.erb,72,70,0,2,6,2762,63
Ruby HTML,app/views/timelog/_form.html.erb,_form.html.erb,88,82,0,6,12,3387,79
