Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,test/test_rand.c,test_rand.c,449,352,34,63,32,15930,307
C,test/test_pc.c,test_pc.c,1834,1583,35,216,204,33338,587
C,test/test_cp.c,test_cp.c,2472,2170,45,257,435,56630,1295
C,test/test_core.c,test_core.c,172,118,36,18,36,3930,101
C,test/test_bn.c,test_bn.c,2419,2145,48,226,502,56677,918
C Header,include/relic_util.h,relic_util.h,325,73,212,40,4,8809,170
C,src/relic_util.c,relic_util.c,227,156,46,25,40,5259,134
C,src/rand/relic_rand_hashd.c,relic_rand_hashd.c,216,115,76,25,18,5991,138
C,src/rand/relic_rand_core.c,relic_rand_core.c,218,138,42,38,47,4714,131
C Header,include/relic_rand.h,relic_rand.h,128,27,81,20,15,3881,76
C,src/pp/relic_pp_map_k8.c,relic_pp_map_k8.c,165,100,48,17,17,4138,118
C,src/pp/relic_pp_map_k54.c,relic_pp_map_k54.c,195,140,37,18,14,4692,145
C,src/pp/relic_pp_map_k48.c,relic_pp_map_k48.c,249,178,48,23,40,5733,151
C,src/pp/relic_pp_map_k24.c,relic_pp_map_k24.c,249,178,48,23,40,5732,151
C,src/pp/relic_pp_map_k12.c,relic_pp_map_k12.c,602,472,72,58,88,12578,264
C,src/md/relic_md_sha512.c,relic_md_sha512.c,60,21,32,7,8,1850,41
C,src/md/relic_md_sha384.c,relic_md_sha384.c,60,21,32,7,8,1850,41
C,src/md/relic_md_sha256.c,relic_md_sha256.c,60,21,32,7,8,1850,41
C,src/md/relic_md_sha224.c,relic_md_sha224.c,60,21,32,7,8,1850,41
C,src/md/relic_md_kdf.c,relic_md_kdf.c,92,41,38,13,6,3004,66
C,src/md/relic_md_hmac.c,relic_md_hmac.c,78,38,32,8,15,2493,61
C,src/md/relic_md_blake2s.c,relic_md_blake2s.c,60,18,32,10,4,1924,42
C Header,include/relic_md.h,relic_md.h,274,67,182,25,16,9538,136
C Header,include/relic_label.h,relic_label.h,3542,3403,32,107,0,115633,3422
C,src/fpx/relic_fpx_util.c,relic_fpx_util.c,946,785,32,129,158,21217,478
C,src/fpx/relic_fpx_exp.c,relic_fpx_exp.c,934,740,32,162,154,14115,282
C,src/fpx/relic_fpx_cyc.c,relic_fpx_cyc.c,3697,3029,206,462,531,76058,1577
C Header,include/relic_fpx.h,relic_fpx.h,5477,858,4010,609,88,159398,1729
C,src/fp/relic_fp_util.c,relic_fp_util.c,313,220,33,60,44,5498,139
C,src/fp/relic_fp_prime.c,relic_fp_prime.c,820,675,69,76,94,17584,423
C,src/fp/relic_fp_exp.c,relic_fp_exp.c,222,148,34,40,34,4205,115
C Header,include/relic_fp.h,relic_fp.h,1248,281,840,127,45,34689,583
C,src/fb/relic_fb_util.c,relic_fb_util.c,324,213,49,62,30,5804,159
C,src/fb/relic_fb_exp.c,relic_fb_exp.c,196,127,34,35,30,3900,107
C Header,include/relic_fb.h,relic_fb.h,990,214,675,101,36,28104,468
C Header,include/relic_epx.h,relic_epx.h,3356,665,2339,352,147,96473,819
C,src/ep/relic_ep_util.c,relic_ep_util.c,331,250,37,44,40,6197,183
C,src/ep/relic_ep_mul_sim.c,relic_ep_mul_sim.c,1038,836,91,111,212,21235,492
C,src/ep/relic_ep_mul_fix.c,relic_ep_mul_fix.c,538,391,61,86,74,10308,225
C,src/ep/relic_ep_mul.c,relic_ep_mul.c,766,601,55,110,104,15423,336
C,src/ep/relic_ep_map.c,relic_ep_map.c,659,470,119,70,52,16817,471
C,src/epx/relic_ep4_util.c,relic_ep4_util.c,318,234,34,50,29,5977,164
C,src/epx/relic_ep4_mul_sim.c,relic_ep4_mul_sim.c,620,492,55,73,121,13255,330
C,src/epx/relic_ep4_mul_fix.c,relic_ep4_mul_fix.c,407,288,52,67,58,8139,178
C,src/epx/relic_ep4_mul.c,relic_ep4_mul.c,512,386,47,79,69,10678,253
C,src/epx/relic_ep4_map.c,relic_ep4_map.c,301,228,43,30,16,7686,233
C,src/epx/relic_ep2_util.c,relic_ep2_util.c,339,256,33,50,38,6366,178
C,src/epx/relic_ep2_mul_sim.c,relic_ep2_mul_sim.c,787,631,68,88,156,16647,394
C,src/epx/relic_ep2_mul_fix.c,relic_ep2_mul_fix.c,402,289,46,67,55,7862,163
C,src/epx/relic_ep2_mul.c,relic_ep2_mul.c,466,347,44,75,68,9321,227
C,src/epx/relic_ep2_map.c,relic_ep2_map.c,396,258,78,60,25,9598,267
C Header,include/relic_ep.h,relic_ep.h,1298,307,859,132,40,36299,623
C,src/ed/relic_ed_util.c,relic_ed_util.c,330,250,34,46,57,6210,197
C,src/ed/relic_ed_mul_sim.c,relic_ed_mul_sim.c,449,336,55,58,95,9545,232
