Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
YAML,config/locales/zh-TW.yml,zh-TW.yml,941,941,0,0,0,34610,791
YAML,config/locales/zh-CN.yml,zh-CN.yml,950,950,0,0,0,39209,814
Ruby,app/models/version.rb,version.rb,513,420,5,88,45,15457,326
Ruby,app/models/user.rb,user.rb,361,286,4,71,27,11556,241
Ruby,app/models/specification_policy.rb,specification_policy.rb,11,8,1,2,1,228,9
Ruby,app/controllers/sessions_controller.rb,sessions_controller.rb,197,163,0,34,13,6052,123
Ruby,app/controllers/concerns/session_verifiable.rb,session_verifiable.rb,40,33,0,7,1,1179,29
Ruby,test/models/pusher_test.rb,pusher_test.rb,847,781,2,64,12,29376,433
Ruby,app/models/pusher.rb,pusher.rb,309,248,12,49,34,10397,205
Ruby,test/integration/push_test.rb,push_test.rb,607,465,0,142,4,19830,277
YAML,config/locales/pt-BR.yml,pt-BR.yml,959,959,0,0,0,24805,726
Ruby,lib/patterns.rb,patterns.rb,16,15,0,1,0,775,16
Ruby,test/functional/passwords_controller_test.rb,passwords_controller_test.rb,624,599,0,25,0,18640,233
Ruby,app/controllers/passwords_controller.rb,passwords_controller.rb,107,84,1,22,7,2822,67
Ruby,test/integration/password_reset_test.rb,password_reset_test.rb,244,224,0,20,2,6896,98
YAML,config/locales/nl.yml,nl.yml,936,936,0,0,0,21620,691
YAML,config/locales/ja.yml,ja.yml,957,957,0,0,0,55745,848
Ruby,test/helpers/gem_helpers.rb,gem_helpers.rb,64,58,0,6,2,1983,50
YAML,config/locales/fr.yml,fr.yml,981,981,0,0,0,27451,754
YAML,config/locales/es.yml,es.yml,1085,1084,0,1,0,47227,963
YAML,config/locales/en.yml,en.yml,942,942,0,0,0,46154,842
Ruby,app/controllers/email_confirmations_controller.rb,email_confirmations_controller.rb,98,78,2,18,5,2907,62
Ruby HTML,app/views/passwords/edit.html.erb,edit.html.erb,21,19,0,2,0,1020,16
YAML,config/locales/de.yml,de.yml,1031,1031,0,0,0,36625,874
Ruby,app/controllers/application_controller.rb,application_controller.rb,208,160,9,39,14,6400,135
Ruby,app/controllers/adoptions_controller.rb,adoptions_controller.rb,19,15,0,4,2,542,15
Gemfile,Gemfile,Gemfile,143,122,6,15,0,4070,125
