Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,pkg/cosign/verify_test.go,verify_test.go,798,641,42,115,109,29091,357
Go,cmd/cosign/cli/verify/verify_blob_test.go,verify_blob_test.go,143,118,14,11,25,3403,90
Go,cmd/cosign/cli/verify/verify_blob.go,verify_blob.go,437,365,31,41,141,12264,244
Go,cmd/cosign/cli/verify/verify_attestation.go,verify_attestation.go,227,179,27,21,59,6841,158
Go,cmd/cosign/cli/verify/verify.go,verify.go,326,271,27,28,104,9382,205
Go,pkg/cosign/verify.go,verify.go,955,749,104,102,320,28500,497
Go,cmd/cosign/cli/verify.go,verify.go,269,237,14,18,6,9709,163
Go,internal/pkg/cosign/rekor/signer_test.go,signer_test.go,85,59,16,10,18,2649,59
Go,pkg/oci/mutate/signatures_test.go,signatures_test.go,73,48,14,11,27,1992,39
Go,pkg/oci/remote/signatures_test.go,signatures_test.go,78,54,14,10,9,2405,50
Go,pkg/oci/layout/signatures.go,signatures.go,45,25,15,5,5,1279,36
Go,pkg/oci/mutate/signatures.go,signatures.go,94,68,19,7,14,2416,56
Go,pkg/oci/remote/signatures.go,signatures.go,70,46,17,7,11,2000,55
Go,pkg/sget/sget.go,sget.go,123,85,23,15,26,3648,81
Go,pkg/oci/remote/remote_test.go,remote_test.go,149,124,16,9,12,5485,93
Go,pkg/oci/remote/remote.go,remote.go,195,141,31,23,34,5705,124
Go,internal/pkg/cosign/rekor/mock/mock_rekor_client.go,mock_rekor_client.go,97,62,24,11,2,3059,72
Go,pkg/oci/internal/signature/layer_test.go,layer_test.go,280,251,18,11,62,8989,169
Go,pkg/oci/signature/layer_test.go,layer_test.go,280,251,18,11,62,8989,169
Go,pkg/oci/signature/layer.go,layer.go,118,84,21,13,17,2986,78
Go,pkg/oci/internal/signature/layer.go,layer.go,118,84,21,13,17,2986,78
Go,pkg/oci/static/file_test.go,file_test.go,123,96,14,13,41,3193,77
Go,pkg/oci/static/file.go,file.go,73,48,17,8,7,1905,53
Go,pkg/cosign/fetch.go,fetch.go,163,131,15,17,36,4123,94
Go,test/e2e_test.go,e2e_test.go,1250,912,121,217,201,37627,566
Go,test/cert_utils.go,cert_utils.go,181,125,35,21,20,5391,95
