Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,cmd/rekor-server/app/root.go,root.go,165,113,26,26,19,6084,126
JSON,pkg/types/intoto/v0.0.2/intoto_v0_0_2_schema.json,intoto_v0_0_2_schema.json,105,105,0,0,0,4494,80
Go,pkg/generated/models/intoto_v002_schema.go,intoto_v002_schema.go,726,484,97,145,176,19454,234
Go,pkg/types/jar/v0.0.1/entry_test.go,entry_test.go,152,124,16,12,28,4635,113
Go,pkg/types/intoto/v0.0.2/entry_test.go,entry_test.go,491,444,14,33,68,13997,262
Go,pkg/types/intoto/v0.0.2/entry.go,entry.go,462,354,33,75,106,14126,276
Go,pkg/types/jar/v0.0.1/entry.go,entry.go,331,254,26,51,96,9025,196
Go,pkg/generated/restapi/embedded_spec.go,embedded_spec.go,3925,3899,20,6,0,116016,806
Go,pkg/types/alpine/apk_test.go,apk_test.go,50,28,14,8,10,1304,32
Go,pkg/types/alpine/apk.go,apk.go,239,170,39,30,65,6831,164
