Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,routes/web.php,web.php,488,309,80,99,0,16075,274
Blade template,resources/views/users/view.blade.php,view.blade.php,1047,870,28,149,59,46960,586
Blade template,resources/views/custom_fields/fieldsets/view.blade.php,view.blade.php,178,151,4,23,2,7051,138
Blade template,resources/views/licenses/view.blade.php,view.blade.php,563,492,3,68,29,23826,296
Blade template,resources/views/hardware/view.blade.php,view.blade.php,1335,1167,10,158,120,83192,636
PHP,resources/lang/en/validation.php,validation.php,147,97,40,10,0,8112,109
PHP,routes/web/users.php,users.php,146,122,1,23,0,2958,66
Blade template,resources/views/modals/upload-file.blade.php,upload-file.blade.php,46,40,1,5,0,2488,37
Blade template,resources/views/reports/unaccepted_assets.blade.php,unaccepted_assets.blade.php,106,96,2,8,9,5359,91
JavaScript,resources/assets/js/snipeit.js,snipeit.js,603,425,108,70,38,20879,424
Blade template,resources/views/settings/slack.blade.php,slack.blade.php,263,197,6,60,20,12490,171
PHP,resources/lang/en/passwords.php,passwords.php,8,7,0,1,0,453,8
PHP,routes/web/models.php,models.php,96,76,1,19,0,2193,51
JSON,public/mix-manifest.json,mix-manifest.json,53,53,0,0,0,5605,54
PHP,resources/lang/sr-CS/admin/accessories/message.php,message.php,37,28,0,9,0,1239,26
PHP,resources/lang/is/admin/suppliers/message.php,message.php,27,20,0,7,0,1315,20
PHP,resources/lang/en/admin/hardware/message.php,message.php,84,67,0,17,0,3515,57
PHP,resources/lang/en/admin/users/message.php,message.php,62,54,0,8,0,4149,52
PHP,resources/lang/en/admin/licenses/message.php,message.php,52,41,0,11,0,2218,36
PHP,resources/lang/en/auth/message.php,message.php,45,35,0,10,0,1809,31
PHP,resources/lang/fa/admin/accessories/message.php,message.php,37,28,0,9,0,1678,25
PHP,resources/lang/ru/mail.php,mail.php,79,77,0,2,0,6603,78
PHP,resources/lang/pl/mail.php,mail.php,79,77,0,2,0,5069,78
Blade template,resources/views/auth/login.blade.php,login.blade.php,98,73,4,21,7,5548,69
Blade template,resources/views/hardware/index.blade.php,index.blade.php,116,92,2,22,13,3677,92
Blade template,resources/views/models/index.blade.php,index.blade.php,79,62,3,14,2,2722,59
PHP,routes/web/hardware.php,hardware.php,184,134,10,40,0,5808,131
PHP,resources/lang/af/general.php,general.php,376,373,0,3,0,19879,374
PHP,resources/lang/pl/admin/depreciations/general.php,general.php,16,15,0,1,0,951,16
PHP,resources/lang/ar/general.php,general.php,376,373,0,3,0,24052,374
PHP,resources/lang/pt-PT/admin/models/general.php,general.php,18,17,0,1,0,1279,18
PHP,resources/lang/pl/admin/hardware/general.php,general.php,44,43,0,1,0,2834,42
PHP,resources/lang/et/admin/hardware/general.php,general.php,44,43,0,1,0,2668,42
PHP,resources/lang/pl/general.php,general.php,376,373,0,3,0,20844,374
PHP,resources/lang/pt-PT/admin/hardware/general.php,general.php,44,43,0,1,0,2730,42
PHP,resources/lang/ca/admin/models/general.php,general.php,18,17,0,1,0,1120,18
PHP,resources/lang/pl/admin/models/general.php,general.php,18,17,0,1,0,1200,18
PHP,resources/lang/pt-PT/admin/depreciations/general.php,general.php,16,15,0,1,0,982,16
PHP,resources/lang/ro/general.php,general.php,376,373,0,3,0,20115,374
PHP,resources/lang/ro/admin/users/general.php,general.php,44,43,0,1,0,3447,44
PHP,resources/lang/ro/admin/settings/general.php,general.php,323,322,0,1,0,27179,323
PHP,resources/lang/pt-PT/general.php,general.php,376,373,0,3,0,20655,374
PHP,resources/lang/et/admin/models/general.php,general.php,18,17,0,1,0,1118,18
PHP,resources/lang/ro/admin/depreciations/general.php,general.php,16,15,0,1,0,886,16
PHP,resources/lang/ca/admin/hardware/general.php,general.php,44,43,0,1,0,2660,42
PHP,resources/lang/es-ES/admin/depreciations/general.php,general.php,16,15,0,1,0,896,16
PHP,resources/lang/lv/admin/models/general.php,general.php,18,17,0,1,0,1212,18
PHP,resources/lang/ro/admin/hardware/general.php,general.php,44,43,0,1,0,3113,42
PHP,resources/lang/ca/admin/depreciations/general.php,general.php,16,15,0,1,0,904,16
PHP,resources/lang/mk/general.php,general.php,376,373,0,3,0,23415,374
PHP,resources/lang/ca/general.php,general.php,376,373,0,3,0,19869,374
PHP,resources/lang/si-LK/general.php,general.php,376,373,0,3,0,19679,374
PHP,resources/lang/lv/admin/hardware/general.php,general.php,44,43,0,1,0,2761,42
PHP,resources/lang/ro/admin/models/general.php,general.php,18,17,0,1,0,1245,18
PHP,resources/lang/sl/admin/models/general.php,general.php,18,17,0,1,0,1157,18
PHP,resources/lang/lv/admin/depreciations/general.php,general.php,16,15,0,1,0,952,16
PHP,resources/lang/es-ES/admin/hardware/general.php,general.php,44,43,0,1,0,3073,42
PHP,resources/lang/sv-SE/admin/models/general.php,general.php,18,17,0,1,0,1148,18
PHP,resources/lang/lv/general.php,general.php,376,373,0,3,0,20594,374
PHP,resources/lang/sl/admin/hardware/general.php,general.php,44,43,0,1,0,2727,42
PHP,resources/lang/af/admin/depreciations/general.php,general.php,16,15,0,1,0,907,16
PHP,resources/lang/sl/admin/depreciations/general.php,general.php,16,15,0,1,0,918,16
PHP,resources/lang/af/admin/hardware/general.php,general.php,44,43,0,1,0,2680,42
PHP,resources/lang/ml-IN/admin/models/general.php,general.php,18,17,0,1,0,1120,18
PHP,resources/lang/ga-IE/admin/models/general.php,general.php,18,17,0,1,0,1228,18
PHP,resources/lang/ar/admin/models/general.php,general.php,18,17,0,1,0,1470,18
PHP,resources/lang/sl/general.php,general.php,377,374,0,3,0,20235,375
