Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,src/snowflake/connector/auth/webbrowser.py,webbrowser.py,504,442,25,37,40,17958,380
Python,src/snowflake/connector/url_util.py,url_util.py,43,15,19,9,1,1022,27
Python,test/unit/test_url_util.py,test_url_util.py,32,26,3,3,2,956,24
Python,test/unit/test_log_secret_detector.py,test_log_secret_detector.py,278,265,4,9,1,8404,140
Python,test/unit/test_auth_webbrowser.py,test_auth_webbrowser.py,755,744,4,7,9,25940,291
Python,src/snowflake/connector/snow_logging.py,snow_logging.py,148,114,19,15,6,4313,82
Python,setup.py,setup.py,182,158,7,17,24,6914,150
Python,src/snowflake/connector/secret_detector.py,secret_detector.py,162,114,28,20,4,5343,113
Python,src/snowflake/connector/auth/_auth.py,_auth.py,794,776,6,12,18,28170,538
Markdown,DESCRIPTION.md,DESCRIPTION.md,1299,887,0,412,0,60314,882
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,137,137,0,0,0,3893,106
