Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
YAML,.github/workflows/netcore_and_netframework.yml,netcore_and_netframework.yml,71,47,9,15,0,2103,54
YAML,.github/workflows/codeql-analysis.yml,codeql-analysis.yml,97,47,35,15,0,3355,79
XML,OWASP.AntiSamy/AntiSamyPolicyExamples/antisamy.xml,antisamy.xml,2748,2408,129,211,0,79305,873
XML,OWASP.AntiSamy/AntiSamyPolicyExamples/antisamy-myspace.xml,antisamy-myspace.xml,2583,2268,118,197,0,74364,806
XML,OWASP.AntiSamy/AntiSamyPolicyExamples/antisamy-ebay.xml,antisamy-ebay.xml,2429,2149,115,165,0,71187,769
XML,OWASP.AntiSamy/AntiSamyPolicyExamples/antisamy-anythinggoes.xml,antisamy-anythinggoes.xml,2614,2288,121,205,0,75518,823
C#,OWASP.AntiSamy/Html/Util/XmlUtil.cs,XmlUtil.cs,132,63,54,15,17,7253,90
C#,OWASP.AntiSamy/Exceptions/UnknownSelectorException.cs,UnknownSelectorException.cs,50,13,33,4,0,2230,41
C#,OWASP.AntiSamyTests/TestPolicy.cs,TestPolicy.cs,93,56,25,12,2,3736,62
C#,OWASP.AntiSamyTests/TestConstants.cs,TestConstants.cs,47,23,23,1,0,3381,45
C#,OWASP.AntiSamyTests/Html/Model/TagTest.cs,TagTest.cs,70,41,23,6,0,3173,59
C#,OWASP.AntiSamyTests/Html/TagMatcherTest.cs,TagMatcherTest.cs,44,19,23,2,0,2085,41
C#,OWASP.AntiSamy/Html/TagMatcher.cs,TagMatcher.cs,52,19,28,5,0,2625,45
C#,OWASP.AntiSamy/Html/Model/Tag.cs,Tag.cs,113,59,41,13,6,5558,85
C#,OWASP.AntiSamy/Html/Util/SpecialCharactersEncoder.cs,SpecialCharactersEncoder.cs,602,560,37,5,8,23573,576
C#,OWASP.AntiSamy/Exceptions/ScanException.cs,ScanException.cs,60,23,32,5,0,2499,45
Markdown,README.md,README.md,26,16,0,10,0,2506,17
C#,OWASP.AntiSamy/Html/Model/Property.cs,Property.cs,55,17,32,6,0,3154,48
C#,OWASP.AntiSamyTests/Html/PolicyTest.cs,PolicyTest.cs,244,179,33,32,0,10046,112
C#,OWASP.AntiSamy/Html/Util/PolicyParserUtil.cs,PolicyParserUtil.cs,94,46,41,7,7,4772,71
C#,OWASP.AntiSamy/Exceptions/PolicyException.cs,PolicyException.cs,58,23,30,5,0,2476,43
C#,OWASP.AntiSamy/Html/Policy.cs,Policy.cs,675,454,158,63,31,36548,404
C#,OWASP.AntiSamy/Exceptions/ParseException.cs,ParseException.cs,56,23,28,5,0,2314,41
C#,OWASP.AntiSamy/Html/ParseContext.cs,ParseContext.cs,49,22,24,3,0,2800,45
MSBuild,OWASP.AntiSamyTests/OWASP.AntiSamyTests.csproj,OWASP.AntiSamyTests.csproj,52,47,0,5,0,2373,31
MSBuild,OWASP.AntiSamy/OWASP.AntiSamy.csproj,OWASP.AntiSamy.csproj,68,66,1,1,1,3572,47
C#,OWASP.AntiSamyTests/Html/LocalizationTest.cs,LocalizationTest.cs,97,60,27,10,0,3925,68
C#,OWASP.AntiSamyTests/Html/LiteralTest.cs,LiteralTest.cs,58,30,23,5,0,2430,47
License,LICENSE,LICENSE,29,23,0,6,0,1517,24
C#,OWASP.AntiSamy/Html/InternalPolicy.cs,InternalPolicy.cs,80,45,29,6,1,4351,64
C#,OWASP.AntiSamy/Html/Util/HtmlEntityEncoder.cs,HtmlEntityEncoder.cs,79,46,26,7,18,3091,58
C#,OWASP.AntiSamy/Html/Util/ErrorMessageUtil.cs,ErrorMessageUtil.cs,91,49,34,8,3,4230,68
C#,OWASP.AntiSamy/Html/Util/DictionaryExtensions.cs,DictionaryExtensions.cs,60,26,30,4,1,2646,51
C#,OWASP.AntiSamy/Css/CssScanner.cs,CssScanner.cs,475,336,93,46,47,22787,303
C#,OWASP.AntiSamy/Html/Scan/Constants.cs,Constants.cs,117,82,27,8,0,8249,107
C#,OWASP.AntiSamy/Html/CleanResults.cs,CleanResults.cs,133,35,83,15,0,7447,107
C#,OWASP.AntiSamy/Html/Model/Attribute.cs,Attribute.cs,143,91,35,17,10,6654,107
C#,OWASP.AntiSamy/Properties/AssemblyInfo.cs,AssemblyInfo.cs,39,18,17,4,0,2299,35
C#,OWASP.AntiSamyTests/Html/AntiSamyTest.cs,AntiSamyTest.cs,938,709,115,114,3,59548,619
C#,OWASP.AntiSamy/Html/Model/AntiSamyPattern.cs,AntiSamyPattern.cs,39,13,24,2,0,1982,36
C#,OWASP.AntiSamy/Html/Scan/AntiSamyDomScanner.cs,AntiSamyDomScanner.cs,705,534,88,83,150,29923,401
C#,OWASP.AntiSamy/Html/AntiSamy.cs,AntiSamy.cs,137,42,83,12,2,8000,97
