Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,gui/default/syncthing/core/syncthingController.js,syncthingController.js,3711,3124,192,395,564,151421,2300
HTML,gui/default/syncthing/transfer/remoteNeededFilesModalView.html,remoteNeededFilesModalView.html,50,49,0,1,0,2925,48
Go,lib/relay/protocol/protocol.go,protocol.go,144,120,4,20,18,3474,87
CSS,gui/default/assets/css/overrides.css,overrides.css,555,412,50,93,0,11433,324
HTML,gui/default/syncthing/transfer/localChangedFilesModalView.html,localChangedFilesModalView.html,35,35,0,0,0,1897,34
HTML,gui/default/index.html,index.html,1083,1013,29,41,0,74863,670
HTML,gui/default/syncthing/device/globalChangesModalView.html,globalChangesModalView.html,42,42,0,0,0,1973,40
HTML,gui/default/syncthing/core/editShareTemplate.html,editShareTemplate.html,46,46,0,0,0,2317,36
HTML,gui/default/syncthing/folder/editFolderModalView.html,editFolderModalView.html,415,404,0,11,0,34629,279
HTML,gui/default/syncthing/device/editDeviceModalView.html,editDeviceModalView.html,204,204,0,0,0,15401,146
HTML,gui/default/syncthing/core/aboutModalView.html,aboutModalView.html,135,130,0,5,0,13912,111
