Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,table.c,table.c,3672,3412,30,230,985,86639,2177
C,rc.c,rc.c,1805,1656,37,112,293,55178,1227
C,parsetagx.c,parsetagx.c,319,293,7,19,81,7172,219
C,main.c,main.c,6869,6117,207,545,1983,161162,3578
C,form.c,form.c,1068,966,34,68,331,25044,693
C,file.c,file.c,8689,7965,260,464,2337,210424,5164
C,etc.c,etc.c,2019,1900,23,96,435,39134,1136
Shell,configure,configure,10536,8843,711,982,1441,313972,5022
Autoconf,config.h.in,config.h.in,257,12,218,27,3,5841,211
C,Str.c,Str.c,553,485,17,51,77,9763,292
