Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,test/controllers/variable_lookup_keys_controller_test.rb,variable_lookup_keys_controller_test.rb,54,45,0,9,0,2093,33
Ruby,test/controllers/users_controller_test.rb,users_controller_test.rb,515,443,0,72,4,19885,302
Ruby,test/controllers/api/v2/users_controller_test.rb,users_controller_test.rb,390,329,1,60,3,15264,193
Ruby,app/controllers/users_controller.rb,users_controller.rb,187,159,7,21,30,6493,124
Ruby,test/models/user_test.rb,user_test.rb,1235,1164,7,64,5,44686,704
Ruby,test/factories/user_related.rb,user_related.rb,119,94,0,25,0,2562,68
Ruby,test/controllers/unattended_controller_test.rb,unattended_controller_test.rb,533,482,4,47,13,24628,287
Ruby,test/test_helper.rb,test_helper.rb,153,120,10,23,7,4181,106
Ruby,test/models/taxonomy_test.rb,taxonomy_test.rb,95,79,3,13,0,3358,58
Ruby,test/models/taxonomix_test.rb,taxonomix_test.rb,398,329,9,60,2,15533,252
Ruby,app/models/concerns/taxonomix.rb,taxonomix.rb,252,182,28,42,37,9968,174
Ruby,test/models/shared/taxonomies_base_test.rb,taxonomies_base_test.rb,462,403,23,36,5,23456,310
YAML,test/fixtures/taxable_taxonomies.yml,taxable_taxonomies.yml,195,157,0,38,0,3314,72
Ruby,app/services/tax_host.rb,tax_host.rb,220,178,11,31,13,6741,138
Ruby,test/controllers/api/v2/subnets_controller_test.rb,subnets_controller_test.rb,221,203,0,18,2,9445,123
Ruby,test/controllers/subnets_controller_test.rb,subnets_controller_test.rb,175,147,0,28,0,6026,106
Ruby,test/models/subnet_test.rb,subnet_test.rb,147,123,2,22,2,5396,104
Ruby,test/factories/subnet.rb,subnet.rb,71,56,0,15,2,1896,45
Ruby,app/controllers/concerns/foreman/controller/smart_proxy_auth.rb,smart_proxy_auth.rb,131,109,7,15,25,5027,100
Ruby,test/factories/smart_proxy.rb,smart_proxy.rb,47,38,0,9,2,1472,31
Ruby,test/controllers/api/v2/smart_proxies_controller_test.rb,smart_proxies_controller_test.rb,322,299,9,14,0,12775,161
Ruby,test/controllers/smart_proxies_controller_test.rb,smart_proxies_controller_test.rb,321,290,0,31,0,12016,150
Ruby,test/unit/tasks/seeds_test.rb,seeds_test.rb,179,154,5,20,1,5974,105
Ruby,app/models/concerns/hostext/search.rb,search.rb,231,200,1,30,18,16752,185
Ruby,test/controllers/api/v2/reports_controller_test.rb,reports_controller_test.rb,208,175,1,32,5,8081,98
Ruby,test/models/report_test.rb,report_test.rb,132,116,0,16,0,4843,85
Ruby,test/controllers/api/v2/realms_controller_test.rb,realms_controller_test.rb,89,75,2,12,3,3296,56
Ruby,test/controllers/realms_controller_test.rb,realms_controller_test.rb,75,63,0,12,1,2181,47
Ruby,test/controllers/puppetclasses_controller_test.rb,puppetclasses_controller_test.rb,239,204,8,27,1,11617,133
Ruby,app/models/puppetclass.rb,puppetclass.rb,110,90,6,14,7,4960,85
Ruby,test/unit/puppet_class_importer_test.rb,puppet_class_importer_test.rb,284,237,0,47,1,11318,143
Ruby,test/controllers/api/v2/ptables_controller_test.rb,ptables_controller_test.rb,249,218,3,28,0,9342,136
Ruby,test/controllers/api/v2/provisioning_templates_controller_test.rb,provisioning_templates_controller_test.rb,139,121,0,18,2,6091,88
Ruby,test/controllers/provisioning_templates_controller_test.rb,provisioning_templates_controller_test.rb,263,230,2,31,1,12026,166
Ruby,test/controllers/api/v2/parameters_controller_test.rb,parameters_controller_test.rb,382,329,2,51,15,15585,171
Ruby,test/controllers/organizations_controller_test.rb,organizations_controller_test.rb,275,222,8,45,3,11413,161
Ruby,test/integration/organization_test.rb,organization_test.rb,73,55,9,9,2,3055,45
