Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,server-product/system/site/robots.txt,robots.txt,23,22,0,1,0,496,23
XML,server-plugin/server-plugin-report-jacoco/pom.xml,pom.xml,20,20,0,0,0,734,21
XML,server-plugin/server-plugin-report-jest/pom.xml,pom.xml,20,20,0,0,0,728,21
XML,server-plugin/server-plugin-executor-serverdocker/pom.xml,pom.xml,13,13,0,0,0,555,14
XML,server-plugin/server-plugin-report-clover/pom.xml,pom.xml,20,20,0,0,0,734,21
XML,server-plugin/pom.xml,pom.xml,49,49,0,0,0,2147,49
XML,server-plugin/server-plugin-report-spotbugs/pom.xml,pom.xml,20,20,0,0,0,739,21
XML,pom.xml,pom.xml,579,579,0,0,0,17462,313
XML,server-plugin/server-plugin-import-github/pom.xml,pom.xml,13,13,0,0,0,540,14
XML,server-plugin/server-plugin-report-problem/pom.xml,pom.xml,13,13,0,0,0,542,14
XML,server-core/pom.xml,pom.xml,323,323,0,0,0,9032,150
XML,server-plugin/server-plugin-executor-kubernetes/pom.xml,pom.xml,14,14,0,0,0,550,15
XML,server-product/pom.xml,pom.xml,162,160,1,1,0,5259,56
XML,server-plugin/server-plugin-import-gitlab/pom.xml,pom.xml,13,13,0,0,0,540,14
XML,server-plugin/server-plugin-executor-remotedocker/pom.xml,pom.xml,25,25,0,0,0,922,22
XML,server-plugin/server-plugin-report-unittest/pom.xml,pom.xml,13,13,0,0,0,545,14
XML,server-plugin/server-plugin-import-bitbucketcloud/pom.xml,pom.xml,13,13,0,0,0,559,14
XML,server-plugin/server-plugin-import-jiracloud/pom.xml,pom.xml,13,13,0,0,0,544,14
XML,server-plugin/server-plugin-sso-openid/pom.xml,pom.xml,27,27,0,0,0,858,28
XML,server-plugin/server-plugin-buildspec-maven/pom.xml,pom.xml,13,13,0,0,0,536,14
XML,server-plugin/server-plugin-executor-remoteshell/pom.xml,pom.xml,20,20,0,0,0,752,21
XML,server-plugin/server-plugin-buildspec-gradle/pom.xml,pom.xml,13,13,0,0,0,552,14
XML,server-plugin/server-plugin-report-coverage/pom.xml,pom.xml,13,13,0,0,0,545,14
XML,server-plugin/server-plugin-executor-servershell/pom.xml,pom.xml,13,13,0,0,0,552,14
XML,server-plugin/server-plugin-report-cpd/pom.xml,pom.xml,20,20,0,0,0,724,21
XML,server-plugin/server-plugin-report-junit/pom.xml,pom.xml,26,26,0,0,0,885,24
XML,server-plugin/server-plugin-report-markdown/pom.xml,pom.xml,13,13,0,0,0,545,14
XML,server-plugin/server-plugin-import-youtrack/pom.xml,pom.xml,13,13,0,0,0,546,14
XML,server-plugin/server-plugin-archetype/pom.xml,pom.xml,56,56,0,0,0,1563,53
XML,server-plugin/server-plugin-import-gitea/pom.xml,pom.xml,13,13,0,0,0,537,14
XML,server-plugin/server-plugin-buildspec-node/pom.xml,pom.xml,14,13,0,1,0,540,14
XML,server-plugin/server-plugin-report-checkstyle/pom.xml,pom.xml,20,20,0,0,0,745,21
XML,server-plugin/server-plugin-authenticator-ldap/pom.xml,pom.xml,13,13,0,0,0,541,14
XML,server-plugin/server-plugin-report-pmd/pom.xml,pom.xml,20,20,0,0,0,724,21
JavaScript,server-core/src/main/java/io/onedev/server/web/component/markdown/markdown.js,markdown.js,1116,941,76,99,224,37570,743
Markdown,server-product/system/incompatibilities/incompatibilities.md,incompatibilities.md,62,39,0,23,0,3574,41
BASH,server-core/src/main/resources/git-receive-hook,git-receive-hook,21,17,1,3,4,607,19
