Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,codestream/singlecomponentlsscan.cpp,singlecomponentlsscan.cpp,361,204,136,21,28,13158,290
C++,marker/scan.cpp,scan.cpp,1288,968,199,121,198,47453,652
C++,codestream/sampleinterleavedlsscan.cpp,sampleinterleavedlsscan.cpp,442,241,173,28,51,16119,273
C++ Header,codestream/rectanglerequest.hpp,rectanglerequest.hpp,163,57,100,6,0,6084,120
C++,codestream/losslessscan.cpp,losslessscan.cpp,493,316,141,36,57,14865,251
C++,control/linebitmaprequester.cpp,linebitmaprequester.cpp,627,418,143,66,114,21272,384
C++,control/hierarchicalbitmaprequester.cpp,hierarchicalbitmaprequester.cpp,964,661,209,94,168,31458,556
C++,codestream/entropyparser.cpp,entropyparser.cpp,259,132,108,19,39,8942,188
C++ Header,codestream/acsequentialscan.hpp,acsequentialscan.hpp,372,207,159,6,4,10703,245
C++,codestream/acsequentialscan.cpp,acsequentialscan.cpp,776,536,182,58,106,22182,436
C++ Header,codestream/aclosslessscan.hpp,aclosslessscan.hpp,237,108,122,7,12,7173,171
C++,codestream/aclosslessscan.cpp,aclosslessscan.cpp,553,360,152,41,53,16916,285
