Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
SQL,sql/views.sql,views.sql,328,295,22,11,2,12072,268
SQL,sql/version.sql,version.sql,14,8,3,3,0,785,12
SQL,sql/pre_install/tables.sql,tables.sql,507,323,114,70,1,25084,374
SQL,sql/pre_install/schemas.sql,schemas.sql,25,18,3,4,0,760,22
SQL,sql/updates/reverse-dev.sql,reverse-dev.sql,770,644,25,101,2,34808,536
SQL,sql/updates/latest-dev.sql,latest-dev.sql,399,327,12,60,1,19862,294
SQL,test/sql/extension_scripts.sql,extension_scripts.sql,64,44,7,13,0,2161,34
YAML,.github/workflows/code_style.yaml,code_style.yaml,142,129,4,9,0,4470,86
CMake,sql/cat.cmake,cat.cmake,26,20,1,5,2,713,21
SQL,sql/pre_install/cache.sql,cache.sql,27,7,14,6,0,1417,22
SQL,sql/bgw_startup.sql,bgw_startup.sql,5,1,3,1,0,243,5
CMake,cmake/ScriptFiles.cmake,ScriptFiles.cmake,90,62,18,10,3,2706,76
CMake,cmake/GenerateScripts.cmake,GenerateScripts.cmake,202,91,94,17,5,7450,144
CMake,test/sql/CMakeLists.txt,CMakeLists.txt,167,142,11,14,7,4090,150
CMake,sql/CMakeLists.txt,CMakeLists.txt,307,243,37,27,13,10801,242
SQL,sql/updates/2.3.1--2.4.0.sql,2.3.1--2.4.0.sql,22,19,0,3,0,1168,20
SQL,sql/updates/2.2.1--2.3.0.sql,2.2.1--2.3.0.sql,131,98,15,18,0,5829,104
