Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,e2e/cypress/e2e/projects/export/export.cy.ts,export.cy.ts,93,75,0,18,2,2559,57
YAML,ee/backend/tests/src/test/resources/application.yaml,application.yaml,91,82,5,4,0,2064,84
YAML,backend/app/src/test/resources/application.yaml,application.yaml,97,96,0,1,0,2501,94
Kotlin,backend/api/src/main/kotlin/io/tolgee/websocket/WebSocketConfig.kt,WebSocketConfig.kt,74,65,0,9,9,2961,62
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/V2InvitationControllerTest.kt,V2InvitationControllerTest.kt,131,115,0,16,0,4438,81
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/v2ImportController/V2ImportControllerApplicationTest.kt,V2ImportControllerApplicationTest.kt,175,150,0,25,7,5956,75
Kotlin,backend/api/src/main/kotlin/io/tolgee/api/v2/controllers/dataImport/V2ImportController.kt,V2ImportController.kt,203,187,3,13,0,8472,161
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/translations/v2TranslationsController/TranslationsControllerViewTest.kt,TranslationsControllerViewTest.kt,469,433,0,36,0,16074,236
Kotlin,backend/api/src/main/kotlin/io/tolgee/api/v2/controllers/translation/TranslationsController.kt,TranslationsController.kt,353,320,6,27,10,13975,265
Kotlin,backend/app/src/test/kotlin/io/tolgee/service/TelemetryServiceTest.kt,TelemetryServiceTest.kt,97,87,3,7,2,2796,74
Kotlin,backend/data/src/main/kotlin/io/tolgee/service/dataImport/StoredDataImporter.kt,StoredDataImporter.kt,325,248,26,51,31,11250,220
Kotlin,backend/data/src/main/kotlin/io/tolgee/service/security/SecurityService.kt,SecurityService.kt,376,323,5,48,18,11479,197
Kotlin,backend/data/src/main/kotlin/io/tolgee/model/enums/Scope.kt,Scope.kt,185,163,7,15,6,5672,132
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/v2ProjectsController/ProjectsControllerTest.kt,ProjectsControllerTest.kt,279,237,0,42,0,9908,168
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/v2ProjectsController/ProjectsControllerPermissionsTest.kt,ProjectsControllerPermissionsTest.kt,125,111,1,13,0,4747,82
Kotlin,backend/security/src/test/kotlin/io/tolgee/security/authorization/ProjectAuthorizationInterceptorTest.kt,ProjectAuthorizationInterceptorTest.kt,291,214,15,62,6,11777,162
Kotlin,backend/security/src/main/kotlin/io/tolgee/security/authorization/ProjectAuthorizationInterceptor.kt,ProjectAuthorizationInterceptor.kt,186,134,26,26,20,6624,132
Kotlin,backend/testing/src/main/kotlin/io/tolgee/fixtures/ProjectApiKeyAuthRequestPerformer.kt,ProjectApiKeyAuthRequestPerformer.kt,89,79,0,10,6,2989,63
Kotlin,backend/data/src/main/kotlin/io/tolgee/service/security/PermissionService.kt,PermissionService.kt,464,390,5,69,31,14623,284
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/organizationController/OrganizationControllerInvitingTest.kt,OrganizationControllerInvitingTest.kt,227,198,0,29,0,7931,136
Kotlin,backend/data/src/main/kotlin/io/tolgee/constants/Message.kt,Message.kt,245,238,3,4,0,7309,242
Kotlin,backend/data/src/main/kotlin/io/tolgee/service/language/LanguageService.kt,LanguageService.kt,448,398,1,49,22,13376,266
Kotlin,backend/app/src/test/kotlin/io/tolgee/api/v2/controllers/v2KeyController/KeyControllerCreationTest.kt,KeyControllerCreationTest.kt,385,353,1,31,1,12258,220
Kotlin,backend/data/src/main/kotlin/io/tolgee/component/email/InvitationEmailSender.kt,InvitationEmailSender.kt,60,54,0,6,4,1912,52
Kotlin,backend/data/src/main/kotlin/io/tolgee/repository/dataImport/ImportLanguageRepository.kt,ImportLanguageRepository.kt,98,89,0,9,0,3201,75
Kotlin,backend/data/src/main/kotlin/io/tolgee/service/security/ApiKeyService.kt,ApiKeyService.kt,258,216,8,34,5,7474,179
Kotlin,backend/api/src/main/kotlin/io/tolgee/api/v2/controllers/ApiKeyController.kt,ApiKeyController.kt,317,292,1,24,11,11804,242
