Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,drivers/net/hamradio/yam.c,yam.c,1190,882,119,189,139,31866,771
C,crypto/xts.c,xts.c,291,209,25,57,17,7263,181
C,net/netfilter/xt_TCPMSS.c,xt_TCPMSS.c,340,275,23,42,47,8913,215
C Header,fs/xfs/linux-2.6/xfs_linux.h,xfs_linux.h,302,216,51,35,10,7994,195
C,fs/xfs/linux-2.6/xfs_iops.c,xfs_iops.c,918,709,102,107,81,20827,523
C,fs/xfs/linux-2.6/xfs_ioctl.c,xfs_ioctl.c,1287,987,76,224,192,27702,656
C,fs/xfs/linux-2.6/xfs_file.c,xfs_file.c,488,370,68,50,24,11595,279
C Header,fs/xfs/xfs_da_btree.h,xfs_da_btree.h,266,160,78,28,2,10372,203
C,fs/xfs/xfs_da_btree.c,xfs_da_btree.c,2444,1797,510,137,472,67424,1433
C,fs/xfs/linux-2.6/xfs_buf.c,xfs_buf.c,1854,1342,261,251,207,42343,1103
C,fs/xfs/xfs_attr_leaf.c,xfs_attr_leaf.c,3078,2097,720,261,456,88984,1706
C,fs/xfs/xfs_attr.c,xfs_attr.c,2745,1825,635,285,375,71271,1224
C,fs/xfs/linux-2.6/xfs_aops.c,xfs_aops.c,1586,1087,320,179,244,39769,964
C,fs/xfs/xfs_alloc.c,xfs_alloc.c,2617,1872,642,103,449,75336,1530
C,fs/xfs/xfs_acl.c,xfs_acl.c,881,638,163,80,140,21405,504
C,net/xfrm/xfrm_user.c,xfrm_user.c,2515,2006,50,459,318,58504,1170
C,net/xfrm/xfrm_policy.c,xfrm_policy.c,2739,2215,126,398,497,65106,1543
C,net/ipv6/xfrm6_tunnel.c,xfrm6_tunnel.c,379,294,28,57,32,9318,224
C Header,include/linux/xfrm.h,xfrm.h,460,375,22,63,0,9511,326
Assembly,arch/x86/xen/xen-head.S,xen-head.S,40,31,2,7,0,1146,34
Assembly,arch/x86/xen/xen-asm.S,xen-asm.S,305,108,158,39,0,9327,229
C Header,include/linux/sunrpc/xdr.h,xdr.h,225,135,56,34,0,7434,153
C,net/sunrpc/xdr.c,xdr.c,1110,807,191,112,166,27561,671
C,crypto/xcbc.c,xcbc.c,373,266,41,66,25,9262,242
C,fs/reiserfs/xattr_acl.c,xattr_acl.c,566,459,41,66,116,13347,329
C Header,fs/ext4/xattr.h,xattr.h,155,116,10,29,1,4402,96
C Header,fs/ext2/xattr.h,xattr.h,125,91,10,24,1,3416,81
C,fs/ext4/xattr.c,xattr.c,1585,1247,201,137,272,42428,964
C,fs/ext2/xattr.c,xattr.c,1031,747,198,86,192,28624,664
C Header,include/linux/netfilter/x_tables.h,x_tables.h,448,301,62,85,8,11760,263
C,net/netfilter/x_tables.c,x_tables.c,1041,841,32,168,121,24783,539
C,arch/x86/kvm/x86_emulate.c,x86_emulate.c,1954,1658,176,120,249,53584,1171
C,arch/x86/kvm/x86.c,x86.c,4008,3223,207,578,479,96919,2119
C,net/x25/x25_facilities.c,x25_facilities.c,311,228,51,32,44,8242,207
C,fs/nfs/write.c,write.c,1593,1188,213,192,193,41009,867
C,crypto/wp512.c,wp512.c,1189,1094,33,62,24,61744,1055
C,drivers/usb/serial/whiteheat.c,whiteheat.c,1510,1103,152,255,115,44328,826
C,drivers/net/wan/wanxl.c,wanxl.c,853,649,38,166,96,21704,531
C Header,drivers/input/tablet/wacom_wac.h,wacom_wac.h,51,38,8,5,0,880,45
C,drivers/input/tablet/wacom_wac.c,wacom_wac.c,723,614,52,57,114,25962,511
C,drivers/input/tablet/wacom_sys.c,wacom_sys.c,398,316,14,68,17,11282,239
C Header,drivers/input/tablet/wacom.h,wacom.h,138,52,78,8,0,5934,124
C,drivers/char/vt_ioctl.c,vt_ioctl.c,1388,1003,256,129,256,31811,800
C Header,arch/x86/kvm/vmx.h,vmx.h,368,300,40,28,0,15564,327
C,arch/x86/kvm/vmx.c,vmx.c,3216,2566,181,469,330,83644,1899
Assembly,arch/ia64/kernel/vmlinux.lds.S,vmlinux.lds.S,295,236,23,36,0,7286,226
Assembly,arch/x86/kernel/vmlinux.lds.S,vmlinux.lds.S,5,5,0,0,0,92,6
C,net/8021q/vlan_dev.c,vlan_dev.c,728,458,154,116,81,20590,466
C,drivers/usb/serial/visor.c,visor.c,1012,781,96,135,70,30406,599
C,arch/sparc64/kernel/visemul.c,visemul.c,888,658,58,172,67,19895,449
C,drivers/net/virtio_net.c,virtio_net.c,582,423,62,97,74,15366,382
C,drivers/char/virtio_console.c,virtio_console.c,225,108,87,30,14,7026,169
C,drivers/media/video/videobuf-vmalloc.c,videobuf-vmalloc.c,447,291,64,92,47,10912,283
C,drivers/video/console/vgacon.c,vgacon.c,1412,1045,194,173,210,41065,945
C,fs/nfsd/vfs.c,vfs.c,2109,1535,323,251,368,50555,1212
C,drivers/net/veth.c,veth.c,497,362,40,95,41,10037,285
C,drivers/video/uvesafb.c,uvesafb.c,2069,1551,202,316,345,51955,1227
C,drivers/infiniband/core/uverbs_main.c,uverbs_main.c,911,679,49,183,57,23954,537
C,net/core/utils.c,utils.c,300,245,30,25,65,6399,208
C Header,ipc/util.h,util.h,163,90,43,30,6,4799,113
C,ipc/util.c,util.c,1057,594,306,157,104,24853,606
C Header,include/linux/user_namespace.h,user_namespace.h,61,46,0,15,3,1207,36
C,kernel/user_namespace.c,user_namespace.c,77,49,13,15,5,1675,52
C,security/keys/user_defined.c,user_defined.c,218,114,55,49,18,5151,116
C Header,include/keys/user-type.h,user-type.h,47,19,21,7,0,1721,39
C,drivers/usb/misc/usbtest.c,usbtest.c,2197,1608,325,264,372,58656,1321
C,drivers/net/usb/usbnet.c,usbnet.c,1326,918,197,211,213,35261,823
