Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Shell,docs/scripts/verify.sh,verify.sh,29,17,5,7,2,1475,23
Markdown,docs/content/migration/v2.md,v2.md,492,359,0,133,0,14952,222
TOML,script/gcg/traefik-bugfix.toml,traefik-bugfix.toml,27,20,1,6,0,644,22
Go,pkg/tls/tlsmanager_test.go,tlsmanager_test.go,377,337,6,34,11,12179,225
Go,pkg/tls/tlsmanager.go,tlsmanager.go,418,312,39,67,100,12834,270
Go,integration/tcp_test.go,tcp_test.go,430,335,16,79,60,12784,181
Go,pkg/config/static/static_config.go,static_config.go,359,266,34,59,81,22761,246
Go,pkg/server/routerfactory.go,routerfactory.go,98,70,7,21,6,3370,74
Go,pkg/server/router/router_test.go,router_test.go,912,846,3,63,14,24297,272
Go,pkg/server/router/tcp/router.go,router.go,405,273,76,56,64,11990,264
Go,pkg/server/router/router.go,router.go,196,156,4,36,35,6182,116
TOML,integration/fixtures/tcp/multi-tls-options.toml,multi-tls-options.toml,47,35,1,11,0,999,35
Go,pkg/server/router/tcp/manager.go,manager.go,365,249,56,60,72,12857,223
Go,integration/https_test.go,https_test.go,1228,950,98,180,96,44389,358
Markdown,docs/content/reference/static-configuration/env-ref.md,env-ref.md,1111,742,0,369,0,38355,654
Markdown,docs/content/routing/entrypoints.md,entrypoints.md,971,760,0,211,0,25022,354
Markdown,docs/content/reference/static-configuration/cli-ref.md,cli-ref.md,1111,742,0,369,0,36143,654
Markdown,docs/content/https/acme.md,acme.md,675,527,0,148,0,56721,356
Markdown,CHANGELOG.md,CHANGELOG.md,6405,5601,0,804,0,717689,3608
