Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
ReStructuredText,doc/api.rst,api.rst,583,398,0,185,0,20095,358
PHP,tests/Extension/SandboxTest.php,SandboxTest.php,460,383,15,62,2,21082,237
PHP,src/NodeVisitor/SandboxNodeVisitor.php,SandboxNodeVisitor.php,134,99,16,19,21,4368,89
PHP,src/Extension/SandboxExtension.php,SandboxExtension.php,123,94,8,21,7,3186,61
PHP,src/Node/Expression/GetAttrExpression.php,GetAttrExpression.php,87,64,10,13,9,2788,66
PHP,tests/Loader/FilesystemTest.php,FilesystemTest.php,244,187,25,32,0,8896,154
PHP,src/Loader/FilesystemLoader.php,FilesystemLoader.php,283,186,44,53,34,7809,143
PHP,tests/Extension/CoreTest.php,CoreTest.php,409,321,30,58,7,11954,231
PHP,src/Extension/CoreExtension.php,CoreExtension.php,1628,984,438,206,214,52925,885
PHP,src/Node/CheckToStringNode.php,CheckToStringNode.php,45,22,18,5,0,1252,35
