Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,twisted/web/vhost.py,vhost.py,153,100,35,18,3,5083,107
Python,twisted/test/test_webclient.py,test_webclient.py,373,348,15,10,3,14823,251
Python,twisted/test/test_http.py,test_http.py,412,371,17,24,2,13727,265
Python,twisted/web/static.py,static.py,470,357,58,55,43,15071,347
Python,twisted/web/server.py,server.py,514,458,40,16,16,17146,383
Python,twisted/web/script.py,script.py,175,152,17,6,2,5405,127
Python,twisted/web/resource.py,resource.py,218,174,35,9,0,7697,151
Python,twisted/protocols/http.py,http.py,1119,1063,38,18,5,36705,843
Python,twisted/web/distrib.py,distrib.py,294,240,31,23,3,9271,224
Python,twisted/web/client.py,client.py,402,305,40,57,52,13186,286
