Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/x86_const.rb,x86_const.rb,1602,1594,3,5,0,40859,1598
Python,bindings/python/unicorn/x86_const.py,x86_const.py,1599,1592,3,4,0,39242,1596
Go,bindings/go/unicorn/x86_const.go,x86_const.go,1602,1595,3,4,0,36086,1599
C,uc.c,uc.c,1404,1058,130,216,260,39220,726
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/sparc_const.rb,sparc_const.rb,99,94,2,3,0,2187,97
Python,bindings/python/unicorn/sparc_const.py,sparc_const.py,96,92,2,2,0,2070,95
Go,bindings/go/unicorn/sparc_const.go,sparc_const.go,99,95,2,2,0,1913,98
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/mips_const.rb,mips_const.rb,200,183,8,9,0,4241,192
Python,bindings/python/unicorn/mips_const.py,mips_const.py,197,181,8,8,0,4035,190
Go,bindings/go/unicorn/mips_const.go,mips_const.go,200,184,8,8,0,3706,193
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/m68k_const.rb,m68k_const.rb,27,22,2,3,0,534,25
Python,bindings/python/unicorn/m68k_const.py,m68k_const.py,24,20,2,2,0,489,23
Go,bindings/go/unicorn/m68k_const.go,m68k_const.go,27,23,2,2,0,476,26
C,qemu/exec.c,exec.c,2347,1835,187,325,276,64741,1218
C Header,qemu/include/qemu/atomic.h,atomic.h,234,131,75,28,5,7881,151
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/arm_const.rb,arm_const.rb,135,128,3,4,0,2805,132
Python,bindings/python/unicorn/arm_const.py,arm_const.py,132,126,3,3,0,2654,130
Go,bindings/go/unicorn/arm_const.go,arm_const.go,135,129,3,3,0,2430,133
Ruby,bindings/ruby/unicorn_gem/lib/unicorn_engine/arm64_const.rb,arm64_const.rb,314,297,8,9,0,7276,306
Python,bindings/python/unicorn/arm64_const.py,arm64_const.py,311,295,8,8,0,6956,304
Go,bindings/go/unicorn/arm64_const.go,arm64_const.go,314,298,8,8,0,6399,307
Pascal,bindings/pascal/unicorn/X86Const.pas,X86Const.pas,1607,1597,3,7,0,44059,1601
Java,bindings/java/unicorn/X86Const.java,X86Const.java,1605,1595,3,7,0,83856,1599
F#,bindings/dotnet/UnicornManaged/Const/X86.fs,X86.fs,1607,1596,3,8,0,52047,1600
Pascal,bindings/pascal/unicorn/SparcConst.pas,SparcConst.pas,104,97,2,5,0,2386,100
Java,bindings/java/unicorn/SparcConst.java,SparcConst.java,102,95,2,5,0,4683,98
F#,bindings/dotnet/UnicornManaged/Const/Sparc.fs,Sparc.fs,104,96,2,6,0,2870,99
Pascal,bindings/pascal/unicorn/MipsConst.pas,MipsConst.pas,205,186,8,11,0,4624,195
Java,bindings/java/unicorn/MipsConst.java,MipsConst.java,203,184,8,11,0,9146,193
F#,bindings/dotnet/UnicornManaged/Const/Mips.fs,Mips.fs,205,185,8,12,0,5577,194
Pascal,bindings/pascal/unicorn/M68kConst.pas,M68kConst.pas,32,25,2,5,0,589,28
Java,bindings/java/unicorn/M68kConst.java,M68kConst.java,30,23,2,5,0,1086,26
F#,bindings/dotnet/UnicornManaged/Const/M68k.fs,M68k.fs,32,24,2,6,0,713,27
Pascal,bindings/pascal/unicorn/ArmConst.pas,ArmConst.pas,140,131,3,6,0,3073,135
Java,bindings/java/unicorn/ArmConst.java,ArmConst.java,138,129,3,6,0,6220,133
Pascal,bindings/pascal/unicorn/Arm64Const.pas,Arm64Const.pas,319,300,8,11,0,7887,309
Java,bindings/java/unicorn/Arm64Const.java,Arm64Const.java,317,298,8,11,0,15259,307
F#,bindings/dotnet/UnicornManaged/Const/Arm64.fs,Arm64.fs,319,299,8,12,0,9410,308
F#,bindings/dotnet/UnicornManaged/Const/Arm.fs,Arm.fs,140,130,3,7,0,3731,134
