Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
ReStructuredText,docs/user-guide.rst,user-guide.rst,470,337,0,133,0,13177,234
Python,src/urllib3/util/url.py,url.py,415,353,37,25,16,13352,314
Python,test/test_util.py,test_util.py,909,859,26,24,10,34270,595
Python,test/test_retry.py,test_retry.py,362,356,1,5,1,14362,214
Python,test/with_dummyserver/test_proxy_poolmanager.py,test_proxy_poolmanager.py,471,395,4,72,40,19062,213
Python,test/with_dummyserver/test_poolmanager.py,test_poolmanager.py,375,298,11,66,27,13366,162
Python,test/with_dummyserver/test_connectionpool.py,test_connectionpool.py,1330,1077,87,166,155,52124,713
Python,src/urllib3/util/retry.py,retry.py,482,448,14,20,17,16335,351
Python,src/urllib3/poolmanager.py,poolmanager.py,509,346,118,45,31,18776,378
Python,dummyserver/handlers.py,handlers.py,319,314,0,5,2,10619,227
Python,src/urllib3/connectionpool.py,connectionpool.py,1017,993,19,5,3,35030,699
Python,src/urllib3/connection.py,connection.py,505,472,15,18,10,17344,367
Python,test/conftest.py,conftest.py,176,120,16,40,22,5319,116
Python,src/urllib3/_version.py,_version.py,2,1,1,0,0,67,3
Python,src/urllib3/_collections.py,_collections.py,307,222,56,29,19,9569,218
Plain Text,CONTRIBUTORS.txt,CONTRIBUTORS.txt,310,213,0,97,0,10237,214
ReStructuredText,CHANGES.rst,CHANGES.rst,1200,726,0,474,0,37961,664
